v,w,x,y,z,class
2.7479,4.926,8.7658,4.1438,3.5516,D
7.1046,1.9309,2.1739,3.4238,4.1735,A
3.8991,1.4058,1.4945,0.1021,5.8979,A
9.0059,7.1641,2.3812,7.8423,5.4458,A
7.1288,4.8877,8.0605,8.7024,5.6891,A
5.89,6.5994,3.6021,6.8419,7.6131,B
2.1012,3.6189,5.6198,4.1002,0.8246,A
6.2397,7.0078,7.5388,7.4703,9.5415,A
5.3781,8.0078,5.6758,7.0216,7.4797,A
5.3448,7.0287,3.2116,8.5887,7.1013,A
7.6956,1.5122,3.8671,2.5111,3.1925,A
9.0969,5.4074,7.0367,6.8295,4.9841,A
8.0641,0.9905,1.1166,2.8679,4.8307,C
8.5502,2.688,3.3479,4.0117,3.0192,D
4.0447,8.8343,4.0798,6.7375,8.6317,C
9.4297,2.8392,3.44,7.4178,7.6753,A
3.3052,0.7606,5.2525,3.3291,9.5124,A
2.8935,5.1057,8.9249,5.4628,6.8874,A
6.5602,2.8805,7.7357,5.3308,7.3612,A
2.1336,4.1832,3.2244,9.2631,9.8444,A
8.6998,2.6131,2.2005,4.4961,1.2503,C
9.8767,1.705,8.8022,8.931,3.9825,A
4.0195,4.639,5.0254,5.888,0.3458,A
1.56,5.6237,7.2633,4.409,5.4927,D
7.9091,3.1407,2.3528,5.0284,1.3579,D
8.1308,9.2021,4.8274,7.3063,6.9868,A
7.8874,2.2896,4.5972,2.9447,3.3774,C
1.4591,4.8385,5.4097,4.372,5.925,A
6.2605,4.5781,8.6226,2.4087,1.5603,A
8.5678,1.8581,0.877,3.8495,2.3405,C
6.8859,3.0007,2.0602,3.1741,4.1959,D
3.9572,3.661,8.2495,1.0198,4.1865,A
2.2444,0.8993,9.1615,7.7324,2.7427,A
3.4142,4.3182,0.868,4.7412,1.9862,A
6.2737,1.6898,0.9451,3.7341,5.8387,A
1.6007,5.3275,7.6837,5.5662,4.9733,A
5.3018,6.7237,4.9151,9.1925,7.0136,B
9.2256,9.4277,1.3693,6.1198,9.1078,A
7.4135,1.7276,1.7717,4.2008,1.4185,A
5.8905,7.1716,4.9566,7.7263,6.6416,B
9.7047,8.3937,0.8957,4.5478,3.6383,A
2.1295,4.1333,7.9289,4.5416,4.6081,E
1.1466,4.4022,2.9172,9.4885,0.1251,A
4.8437,7.1317,4.0288,7.0745,8.095,A
