v,w,x,y,z,class
7.7404,8.0421,9.0974,2.4932,2.3073,C
9.4717,7.2667,7.0863,4.3905,1.5891,B
4.7066,6.3779,5.5611,6.242,9.6897,A
1.364,2.7322,3.59,4.2299,5.8906,A
8.2592,7.8759,7.334,1.7817,2.2063,A
5.2385,4.2527,5.2081,7.9029,6.7315,D
5.1327,4.2485,6.3131,7.2828,6.5124,D
7.8036,7.328,9.9733,2.2507,2.8672,C
1.2196,1.8114,4.2241,2.769,7.0538,A
5.6165,2.8967,5.8013,5.8994,7.0102,A
7.0486,5.5716,7.3157,9.627,9.2427,A
8.0338,9.6,3.8222,9.6437,6.9089,A
6.168,3.7801,6.4022,6.8953,7.4465,E
5.2366,4.3054,8.0026,4.1151,8.1905,A
1.0962,2.7421,2.5849,1.6986,4.413,D
1.5584,2.9362,3.2504,4.0853,6.1319,A
0.3125,9.4923,9.601,8.5032,5.7942,A
7.967,7.9287,7.2646,4.3918,2.3029,A
1.2315,2.6827,3.6857,3.8767,5.8061,C
4.4144,4.1327,8.0202,8.2545,7.3556,D
1.2653,3.2235,3.5473,2.356,5.3615,D
6.4702,7.325,6.5632,3.6429,1.742,A
1.1477,2.34,3.2418,4.333,2.9425,D
8.6488,7.1214,8.0284,3.5609,1.5662,B
6.641,5.1984,7.2526,5.3626,6.7545,E
3.5353,5.9556,9.728,4.5671,5.2353,A
2.9116,4.2009,4.8822,0.9911,2.9633,A
1.406,1.8991,1.8384,4.7158,4.5106,C
2.306,6.1485,3.9355,3.8465,3.9367,A
9.8756,8.965,5.4331,4.0869,4.1655,A
2.5701,9.483,4.4452,3.8254,3.2653,A
9.4794,0.1251,2.2714,3.1844,6.0997,A
5.8297,4.6702,4.5919,5.298,7.1394,D
9.5289,8.6543,10.0,2.9844,2.57,A
8.4598,5.2307,8.0875,3.2297,2.9544,C
8.9835,6.0525,6.5632,1.9871,3.6272,C
1.2832,2.8859,3.3527,4.2737,5.9123,D
2.6471,2.4271,2.0662,1.0868,4.342,C
5.8351,4.0508,6.8837,6.6039,6.8929,E
6.7219,4.338,6.8561,7.8781,6.8597,E
3.0598,2.1063,1.5026,0.652,1.8536,A
2.2976,4.1695,2.519,2.792,5.6549,D
5.6292,4.0275,6.1043,7.4323,8.206,E
1.2244,3.9899,2.8509,2.0301,5.1458,A
6.4052,2.622,6.0136,8.2879,8.3501,A
0.9395,3.4981,2.9294,2.0531,5.1916,D
6.4194,3.7706,7.6919,5.399,9.135,D
8.5426,7.1393,9.0122,3.3695,0.0,A
8.4583,8.0645,6.7558,1.5919,2.9727,A
0.856,3.6086,3.3542,5.7279,6.7856,C
8.4759,8.6851,8.7605,4.2432,2.3563,A
5.6041,4.8257,6.2028,4.6574,7.9541,A
1.0127,2.9306,3.4243,2.7734,3.8939,C
2.1382,0.4444,4.3826,1.6178,1.3029,A
1.6321,0.0,3.6906,4.2955,6.1293,C
9.2088,6.5156,8.1713,6.6807,2.2392,A
1.0939,2.3556,3.0562,4.7979,6.4612,C
8.5017,8.2378,7.143,1.9059,3.5754,A
5.781,4.9509,5.1027,8.3375,7.7167,E
7.91,8.0468,6.7452,3.3157,1.1194,B
1.3018,2.688,3.6367,3.8283,5.7762,A
5.9209,4.1653,7.2207,6.4435,7.2198,D
1.6598,3.4304,4.6282,3.6226,7.4956,A
1.4687,2.6215,3.3885,3.7935,5.9838,D
8.6364,8.1838,7.9479,3.499,2.105,A
1.3586,2.7632,3.5639,4.2566,6.2579,A
2.1602,3.316,4.2571,1.7833,5.344,C
1.2097,2.559,3.2735,3.6883,5.7618,A
4.4699,4.1029,7.3669,3.921,7.6348,A
4.9348,4.6059,7.1841,7.6619,8.5488,E
2.3548,2.2666,3.8433,1.7362,7.0546,D
1.9203,2.0667,3.5699,2.8512,5.6772,A
4.8797,3.0083,5.9467,7.2319,8.1357,E
8.6394,0.9284,6.46,2.3178,5.3603,A
5.4272,4.6712,6.259,7.2797,8.4825,A
6.6157,4.9309,5.4123,7.6821,7.5492,A
6.0563,1.5446,5.8572,5.4091,7.0636,D
0.6048,9.532,2.4507,2.8474,1.8463,A
4.9056,4.093,6.5863,7.1111,9.1596,A
6.1775,4.6022,6.801,4.1893,4.7595,D
5.6737,1.9355,5.9088,6.2769,8.7571,D
6.3445,3.6952,6.0264,7.1442,6.7356,D
1.187,3.5397,3.6943,5.4226,6.4689,C
1.1426,2.5112,3.2146,4.0934,6.2327,C
8.6473,8.1817,8.379,3.8066,3.4534,C
8.0131,9.3746,8.7122,5.491,2.569,C
1.8146,1.6928,4.9385,5.0135,4.3671,C
9.3301,7.9863,7.9993,3.7656,1.071,A
5.1397,4.0267,3.754,2.1491,0.1997,A
