v,w,x,y,z,class
2.8648,8.157,7.0528,7.1588,5.7647,D
4.9179,1.2267,7.1615,6.0771,2.7115,A
4.2809,0.6749,3.4584,2.6504,6.0709,D
0.877,6.8306,1.3893,3.5191,0.977,A
4.2254,2.1783,2.3533,2.2411,4.2555,D
5.0752,2.3535,2.8867,1.2995,7.1692,D
2.0279,7.4194,7.868,8.3985,6.4507,D
3.0643,2.9707,4.4053,2.6087,6.8271,A
9.2283,7.5442,4.7898,0.1927,4.0283,A
2.2081,7.3873,9.1537,6.7417,8.2991,D
5.8199,5.3206,5.779,1.0101,1.5268,A
2.6056,7.0022,7.2226,8.6288,7.0603,D
6.3424,2.3973,3.482,0.7379,0.8708,A
2.9501,9.0066,4.9675,4.8482,2.5041,A
7.561,3.6984,7.7023,4.8995,2.1745,A
1.1695,4.0907,9.6285,5.4352,1.869,A
6.5858,5.2588,8.0138,5.6818,9.132,A
3.3099,6.4502,6.7996,5.636,7.4304,A
7.3336,3.4241,0.2954,0.8618,7.0831,A
2.7985,2.3807,1.3943,2.6348,6.5982,D
5.7211,3.8122,4.4334,3.9173,4.2975,A
4.1628,2.2915,1.9728,1.795,7.815,D
4.4775,1.3155,4.4834,1.6298,5.6989,B
3.9304,7.7927,1.1255,8.5591,5.545,A
4.5288,2.3774,3.0985,2.0342,5.1477,D
6.6237,3.4278,8.8673,5.0227,9.159,A
3.7527,2.6302,2.0751,3.0773,5.7793,D
8.2739,7.2338,1.1942,2.0636,1.3504,A
5.3057,5.763,0.8537,4.5513,2.4392,A
0.5703,2.5822,2.3247,7.1608,6.56,A
6.0164,1.5547,1.5156,7.682,5.6556,A
4.5965,1.5907,3.2334,2.5825,5.2276,A
0.7957,3.235,4.1701,7.5573,2.9344,A
8.4821,4.3891,9.8959,9.8702,3.942,A
4.2174,0.0,1.393,2.2747,6.5081,B
8.5113,2.8073,3.5533,4.2433,4.3952,E
4.1095,2.2737,3.3584,2.8284,5.0434,B
8.7297,7.9125,8.9842,0.0641,9.2017,A
1.1938,6.8633,9.8063,8.3513,2.2144,A
5.5431,3.5954,1.4929,2.9235,6.3133,D
1.2295,8.2504,5.5648,6.9658,7.1303,D
4.6219,2.9784,2.5203,1.9922,4.3242,A
2.8895,8.7537,3.167,3.0438,1.3311,A
3.8568,3.0649,3.0694,3.2978,7.1784,B
5.3411,9.7308,4.1908,4.9923,5.7283,A
3.2102,0.2821,5.7696,4.6697,7.1115,A
9.2335,2.9619,1.6561,6.0473,7.0194,A
5.3108,1.1885,3.5945,2.5336,7.0095,B
6.871,8.4187,0.3367,1.0685,6.3081,A
5.4416,8.7404,4.1184,5.9612,0.2257,A
5.6078,8.1415,3.8296,5.0115,6.1372,A
2.1126,7.0553,6.6226,7.7104,5.4028,D
7.5661,4.5389,7.4997,3.2389,3.4519,A
1.7647,6.2862,7.8186,6.8321,7.7372,E
7.3471,4.6972,3.4814,4.5139,0.9217,C
6.1498,1.3128,2.1287,9.0855,5.7568,A
5.1814,3.0991,2.6824,1.0492,7.434,A
7.5554,5.0913,4.8495,4.6303,1.5243,C
4.2024,4.0016,4.2886,1.2862,5.048,D
8.9156,0.2008,3.4667,0.7453,9.9086,A
4.3831,0.4857,5.194,2.1978,7.0606,B
6.9191,0.6082,3.7255,7.6539,4.3221,A
2.15,7.4989,0.9426,0.3649,1.9303,A
5.1604,2.5346,7.8911,0.5477,9.4664,A
4.2644,3.776,3.1714,2.1602,4.8437,D
9.0153,4.8989,5.7232,3.8223,2.1816,C
7.0994,3.8525,8.5744,8.4007,9.1974,A
6.5909,1.7478,4.1844,6.8075,8.2557,A
9.269,4.4262,3.8414,3.5676,2.8377,C
4.3144,1.3555,3.7202,2.8701,6.2174,A
6.992,5.5485,4.9816,6.7581,2.8942,A
4.9423,2.7382,3.2219,2.6602,6.4273,D
8.2766,2.9125,4.0391,5.712,2.946,C
3.9808,8.7655,1.7253,9.2747,4.8285,A
7.6881,6.6677,6.5958,4.5068,5.7168,A
5.1012,3.5859,6.1507,7.3679,0.4111,A
8.44,5.591,4.5073,4.3763,2.7367,E
5.1445,1.1731,2.8811,1.9451,5.7273,B
0.1233,1.069,6.0175,8.295,1.1978,A
3.5607,2.9627,4.1169,1.7201,3.7151,A
7.8508,5.0833,5.741,2.8771,1.3762,A
2.2049,6.7595,5.8874,7.9869,4.549,E
3.0572,3.0264,2.4406,1.4323,7.4902,B
7.3104,5.5068,5.2702,3.643,2.5867,A
2.2916,2.5459,2.5463,1.6388,6.2378,A
2.9833,5.8427,4.0876,7.6811,4.703,A
2.8087,3.1937,8.5999,2.9225,1.7163,A
4.0504,3.5515,2.3762,2.2182,4.2636,D
2.3044,7.4889,6.8075,8.4878,6.1329,A
3.4398,4.6692,2.6388,7.1195,2.2643,A
7.6357,6.1507,4.5396,5.5158,2.7708,E
3.492,1.9146,2.4448,1.8624,6.3427,B
1.9349,5.8216,6.0404,8.1995,6.3904,A
0.7131,8.4265,7.9555,6.7657,5.6044,A
8.7868,8.0423,7.9841,3.7698,0.6476,A
7.1059,0.9189,8.5992,4.1725,9.5589,A
4.1318,9.3963,8.3638,5.4927,0.6287,A
4.6666,1.7098,6.1997,4.5676,3.2905,A
4.6975,3.331,2.4315,3.116,4.4116,A
4.706,4.1265,3.4034,2.4391,5.054,B
5.7599,1.6739,1.9134,2.9793,6.6639,B
3.179,1.2362,3.4394,1.5731,6.2448,B
3.3014,1.9179,3.1215,1.9922,6.4944,D
8.7209,5.1749,4.0622,4.6456,3.0039,C
8.2474,8.6762,3.1853,2.9995,1.6162,A
9.4882,1.0921,8.3277,5.7734,9.8331,A
1.6523,4.9319,3.818,9.3583,0.1339,A
9.8593,3.6655,9.185,7.4028,4.5303,A
0.3273,8.8133,0.0974,0.6118,1.0376,A
7.3511,4.1898,3.2215,4.8614,1.0689,E
8.6648,4.5009,4.1844,3.9867,3.5123,A
5.5735,1.7744,2.8482,4.5178,4.8222,A
8.4717,7.4684,4.2481,7.0844,9.1242,A
4.3788,2.9431,4.8925,3.3398,6.2891,B
0.3984,6.8931,10.0,7.2457,5.0812,D
4.2849,0.7076,3.3485,1.849,6.5845,A
3.3454,0.5208,6.7919,1.7422,3.2199,A
7.0536,6.2776,7.3037,8.2657,2.1934,A
1.958,5.5573,6.8847,7.484,6.4489,A
4.7571,2.6397,1.9643,2.9719,6.5602,B
4.5535,1.4131,2.2013,1.1528,6.5471,A
1.8088,1.8375,8.773,6.1503,3.6587,A
2.4583,8.5209,7.7407,8.3768,7.8414,E
2.8424,7.1728,8.2362,7.1818,7.7022,E
6.8521,0.4836,4.5008,2.26,6.109,A
7.5515,8.7295,3.7166,6.7356,7.6775,A
6.0406,2.1308,5.2371,1.6345,5.4918,D
3.4672,7.4448,7.9394,8.5125,5.2317,A
0.5406,0.7849,5.6087,3.7089,5.189,A
8.5693,3.2027,5.8564,9.2946,4.4377,A
2.8182,0.8085,3.8563,7.2238,6.1888,A
4.382,3.3014,3.6877,4.1292,3.7985,B
2.9556,5.4802,5.8999,1.9682,9.5323,A
6.9636,5.7745,0.1461,3.1102,9.6379,A
0.9031,3.1705,5.0159,4.5926,2.9633,A
7.3654,1.6975,6.0851,7.651,4.6996,A
5.6157,3.0342,3.0247,1.5965,4.0026,A
1.8042,7.0391,3.6489,7.7303,8.4929,A
7.9749,9.9284,0.9517,0.4665,5.9073,A
1.512,8.9578,8.2842,6.9205,7.1797,A
5.9497,3.0404,4.5837,6.8407,3.352,A
7.7556,2.2676,7.2573,9.1007,0.8385,A
4.7944,3.9229,2.4597,4.108,6.1983,D
7.0833,7.5273,4.6949,2.1554,0.1372,A
2.0909,4.9716,8.6421,6.8593,7.6472,E
3.1257,0.8098,2.56,1.9787,1.8136,A
8.608,5.057,6.6971,5.4689,2.8453,A
6.588,0.1999,3.136,7.5982,9.1845,A
3.7603,2.5297,0.4585,2.9922,2.4612,A
0.5265,4.9097,5.7453,3.7537,9.2499,A
6.3758,1.8838,3.4862,2.7396,6.8093,B
6.0872,0.2376,4.006,2.4968,4.5348,A
2.9497,7.0117,2.6173,4.3147,6.5909,A
4.721,5.4591,2.413,2.956,6.1015,A
2.6009,6.2998,7.4863,6.629,6.1355,E
2.4282,6.9683,3.6639,7.1505,5.3477,A
5.9515,8.8033,7.566,0.2939,8.8336,A
