v,w,x,y,z,class
7.5199,5.2708,6.8,5.9557,6.2659,E
5.2676,8.1198,0.9531,4.4899,4.8144,D
1.6279,3.1385,3.1331,5.373,1.0308,D
0.652,2.1063,1.5026,1.8536,3.0598,D
2.0314,7.72,7.9545,1.8844,7.6085,C
7.2319,3.0083,5.9467,8.1357,4.8797,A
8.2545,4.1327,8.0202,7.3556,4.4144,E
6.0304,3.803,6.4918,8.5572,5.825,E
5.2278,7.9224,7.9491,2.2014,6.3779,B
5.7652,7.8838,7.4335,3.2991,8.874,D
3.8254,9.483,4.4452,3.2653,2.5701,D
3.8734,2.6789,3.5726,5.9764,1.1385,D
3.8427,2.533,3.2014,6.1491,1.1972,E
0.6581,1.4143,0.5878,8.4893,4.6044,D
8.4487,7.552,5.7885,5.0278,0.36,D
4.2721,7.4655,1.3989,5.578,3.2531,D
5.786,9.6111,1.2845,3.2518,8.3597,D
0.0,1.7663,4.3217,5.2742,0.3181,D
5.2178,8.583,7.1058,3.8714,10.0,D
3.8465,6.1485,3.9355,3.9367,2.306,D
4.6106,1.4851,4.6598,7.1701,1.6867,C
2.1224,3.4493,2.8902,4.6149,1.2529,E
5.0676,8.2702,7.2452,3.8752,7.5117,C
5.8394,3.2843,1.1028,7.0284,0.0313,D
4.6574,4.8257,6.2028,7.9541,5.6041,D
1.2857,7.3749,8.5573,4.1178,7.7353,C
6.1755,8.9988,8.767,2.5562,8.1868,B
6.2926,3.7693,7.4277,5.2668,5.3808,D
2.4177,7.2692,7.2924,2.4169,7.9602,B
5.3626,5.1984,7.2526,6.7545,6.641,A
8.8345,7.8562,6.0858,3.1853,0.6811,D
7.0174,2.4443,2.5988,5.6921,1.3844,E
4.5128,8.0013,8.2281,3.9108,7.388,C
4.7979,2.3556,3.0562,6.4612,1.0939,C
6.4435,4.1653,7.2207,7.2198,5.9209,E
6.2026,3.2531,1.972,4.5704,2.1894,D
3.3998,4.8984,6.3228,6.5362,6.658,A
6.359,8.2393,8.6778,7.0918,6.2571,D
3.499,8.1838,7.9479,2.105,8.6364,D
7.1905,8.1583,6.8056,4.4034,7.9821,C
2.0422,9.8919,7.5415,3.5467,8.2954,C
1.6986,2.7421,2.5849,4.413,1.0962,E
4.7504,3.5293,5.9574,7.9127,5.6701,D
2.9482,8.5998,8.0798,3.0751,8.34,B
