v,w,x,y,z,class
5.4134,4.4197,1.4981,4.1191,4.1266,E
2.4998,2.5378,5.3673,0.4793,1.7897,E
3.0471,3.9833,3.626,3.1947,6.3139,E
6.3567,1.8069,2.2488,3.2724,3.8006,C
7.7769,1.8637,9.6662,5.0811,7.8871,E
0.8956,7.7253,1.7699,4.8547,5.4607,E
6.0639,6.756,5.1677,1.9718,8.1038,E
4.703,4.0876,5.8427,2.9833,7.6811,E
6.1514,7.7073,8.0266,1.0549,8.0879,E
1.6441,0.47,1.6783,6.8148,6.1188,E
1.3762,5.741,5.0833,7.8508,2.8771,E
8.1379,8.252,7.1459,1.9639,7.6633,E
2.7708,4.5396,6.1507,7.6357,5.5158,D
5.8933,8.6173,8.8756,2.2715,9.2231,C
9.3797,2.0105,4.3493,3.5655,6.5725,E
6.1971,4.8573,0.9101,3.9448,3.478,E
2.5471,0.091,9.5524,7.3855,3.0101,E
1.6711,3.0728,5.9581,7.6108,4.9601,D
9.5589,8.5992,0.9189,7.1059,4.1725,E
6.4413,7.4304,7.0638,3.2065,7.6292,D
4.1978,8.6927,6.1238,7.9963,2.567,E
0.3294,9.2736,8.6523,9.2438,8.6882,E
6.1983,2.4597,3.9229,4.7944,4.108,C
7.6403,2.6052,4.7146,6.7569,2.7321,E
4.6198,1.7305,2.0793,2.0184,7.5915,E
7.8474,2.083,3.7243,6.8161,2.681,E
7.235,2.6212,0.7986,4.9374,1.929,E
1.8026,3.0598,3.1899,8.0584,4.2574,E
8.5055,0.9451,7.3982,1.2544,6.137,E
9.123,7.6595,6.1505,1.4322,8.1419,C
5.3117,2.7189,2.5446,4.9189,2.4218,C
6.3143,7.4603,8.8388,1.863,8.077,D
2.7278,5.8083,0.2035,9.6135,1.7855,E
0.8141,4.8839,9.1502,6.4706,4.6,E
0.3056,5.2784,5.8093,6.2508,2.6886,E
0.1339,3.818,4.9319,1.6523,9.3583,E
1.1978,6.0175,1.069,0.1233,8.295,E
7.243,2.372,2.3737,4.6189,3.6128,C
0.309,5.3913,0.0193,8.2974,8.7467,E
6.9536,2.4932,0.4942,7.5637,6.9882,E
2.2105,9.2508,0.7556,1.8886,8.7701,E
2.7115,7.1615,1.2267,4.9179,6.0771,E
5.1562,8.0462,5.7425,9.4123,6.8031,E
7.951,9.8613,8.4977,4.8359,8.8996,E
2.22,6.9739,1.1638,6.6899,7.2309,E
0.6121,8.2637,3.7908,9.8036,3.0781,E
2.0976,9.5049,4.7833,8.6385,0.5753,E
1.1663,7.2322,3.1272,2.8784,8.7986,E
7.4321,7.4401,7.349,1.0247,5.8973,C
3.4547,3.0765,6.8681,5.0434,8.6906,E
6.1006,1.5135,3.4973,4.6599,1.7311,B
0.8255,9.8413,7.7483,5.5496,7.0612,E
5.2884,5.0285,0.8974,3.6487,3.047,E
5.2462,9.5922,1.2644,5.3726,3.01,E
2.434,4.1585,4.3244,9.0835,5.1669,D
7.0194,1.6561,2.9619,9.2335,6.0473,E
4.4416,0.5859,7.8496,7.8708,1.9989,E
6.0162,9.1448,6.1824,8.3731,3.0699,E
7.3802,8.2038,3.4714,9.4815,1.6519,E
4.5903,4.075,5.628,8.5409,5.1615,E
6.8054,2.4008,2.4098,5.0448,3.9918,B
6.5606,2.6794,0.6451,5.0512,8.1259,E
6.6826,7.7803,7.3023,1.8925,7.7632,E
6.4328,9.3311,6.8242,2.288,6.7052,C
6.8985,6.7024,6.2093,1.2986,8.1243,D
3.3085,8.3331,0.767,6.8619,7.799,E
7.3541,0.9739,7.3665,1.9058,5.8647,E
1.7929,2.2361,6.4228,6.4803,9.6608,E
5.2992,5.4792,8.8753,4.3953,5.7045,E
6.85,0.9765,1.9916,4.2313,3.638,B
4.7934,9.4133,2.3806,9.7785,2.4494,E
7.2332,8.8828,8.8708,6.7763,5.3276,E
6.4147,6.3366,8.5021,1.9353,6.2286,C
7.6721,3.3021,4.1805,4.2889,1.213,C
4.3952,3.5533,2.8073,8.5113,4.2433,D
6.5909,2.6173,7.0117,2.9497,4.3147,E
6.3189,4.4094,3.0194,4.9713,1.8294,E
6.7929,3.0673,3.5595,4.0825,0.7032,C
5.6655,2.4018,1.2724,5.1142,2.586,C
9.7636,5.6326,7.7955,0.1698,8.9073,E
5.429,1.9897,2.2476,8.7126,3.4129,E
6.1372,3.8296,8.1415,5.6078,5.0115,E
9.5414,0.0053,5.4586,3.3396,2.0153,E
5.9222,1.2909,3.4241,4.9337,2.2786,C
5.422,1.6686,4.1584,8.0128,7.7336,E
8.8451,2.1552,0.1677,1.2498,3.9471,E
7.1328,7.9842,7.7384,2.0895,5.7006,D
5.9397,7.5456,6.7519,8.4712,1.5598,E
5.7588,3.5146,2.6596,3.5543,0.8241,B
1.869,9.6285,4.0907,1.1695,5.4352,E
7.0969,6.74,6.3711,9.9622,9.9265,E
1.4318,9.4524,6.5657,3.7992,5.9903,E
5.643,7.2917,6.4425,2.1526,7.1487,D
4.3822,2.4637,2.5449,4.5736,3.1054,E
8.6037,0.2561,0.9913,9.8212,6.3762,E
5.7568,2.1287,1.3128,6.1498,9.0855,E
6.0599,2.2334,1.6718,3.6726,0.9693,B
8.5271,5.5028,0.437,4.3273,7.7405,E
0.8708,3.482,2.3973,6.3424,0.7379,E
1.9303,0.9426,7.4989,2.15,0.3649,E
7.7805,4.3258,2.1424,4.5521,2.445,E
8.0198,5.4204,7.1762,0.8925,8.3084,E
3.352,4.5837,3.0404,5.9497,6.8407,E
0.8472,5.6728,6.8658,9.7777,1.8624,E
5.3853,9.1027,3.8537,1.7153,6.7537,E
5.0779,7.6272,4.0422,1.5563,3.4019,E
6.5019,2.404,3.8054,4.7521,2.8853,B
3.6166,1.8351,9.7818,9.3512,6.481,E
7.1917,6.425,5.332,1.4737,7.7691,C
5.2276,3.2334,1.5907,4.5965,2.5825,E
6.9122,7.5442,7.4621,0.8925,7.9854,E
7.5726,7.1185,6.071,8.6795,1.6556,E
5.4918,5.2371,2.1308,6.0406,1.6345,C
5.8142,3.9026,2.4284,4.2059,1.9196,E
5.4186,2.6258,8.7713,3.5763,9.3093,E
5.7565,3.0681,9.2551,8.4654,2.8858,E
7.2009,7.2534,6.9049,1.6234,7.093,C
0.6476,7.9841,8.0423,8.7868,3.7698,E
7.5464,8.4667,6.7768,2.5006,6.2559,D
2.3286,5.6901,6.2914,7.8542,0.456,E
5.2916,7.8694,6.5705,6.3664,4.7735,E
5.8947,2.7391,4.0166,6.1394,0.9277,E
