v,w,x,y,z,class
4.5736,2.4637,2.5449,3.1054,4.3822,A
7.1123,0.9804,2.4027,8.8849,2.5117,A
2.5216,7.9405,7.4543,6.882,7.1838,D
9.8886,9.3687,7.2431,1.7096,4.2842,A
1.4322,7.6595,6.1505,8.1419,9.123,D
7.3104,5.2702,5.5068,3.643,2.5867,A
1.2544,0.9451,7.3982,6.137,8.5055,A
2.2816,3.6223,1.2744,6.6832,2.2786,A
1.6351,9.235,1.1077,5.8337,7.8372,A
9.4882,8.3277,1.0921,5.7734,9.8331,A
2.937,8.2344,7.1795,6.6695,7.1256,B
4.057,7.9983,5.2385,5.524,5.9839,A
2.1163,9.3567,6.9085,7.5069,9.1879,A
4.5288,3.0985,2.3774,2.0342,5.1477,D
2.3085,6.269,7.5197,5.153,3.7355,A
4.2849,3.3485,0.7076,1.849,6.5845,A
5.9774,7.8733,3.4206,3.5279,6.8659,A
7.7436,1.8122,3.8705,7.2207,0.0999,A
1.2755,6.5508,5.7527,7.8817,4.9728,A
3.3025,6.948,2.9577,4.6289,6.4104,A
9.6399,9.8255,1.9644,7.7234,1.5199,A
0.2881,0.5219,5.7091,9.9998,9.8716,A
2.1126,6.6226,7.0553,7.7104,5.4028,D
2.1405,6.3729,5.8454,6.6617,7.7773,D
6.0872,4.006,0.2376,2.4968,4.5348,A
2.3213,6.643,7.1008,7.8735,7.1843,B
3.0812,8.4525,5.3828,3.7224,5.5795,A
4.382,3.6877,3.3014,4.1292,3.7985,E
0.4361,3.6973,8.0311,4.4705,2.9607,A
8.6886,1.2921,3.9257,4.1562,7.5538,A
2.6009,7.4863,6.2998,6.629,6.1355,B
7.2694,5.4539,4.8882,5.0553,3.3643,A
4.6548,3.0433,2.8617,2.1856,5.3232,D
7.693,3.9686,6.6903,0.7335,0.2826,A
8.3909,5.7891,4.1993,0.7477,9.0293,A
8.3552,4.9144,4.4719,4.3149,0.8061,B
4.2491,1.6169,2.2638,3.8216,4.8362,D
1.4737,6.425,5.332,7.7691,7.1917,D
0.9944,5.7921,7.2232,7.2686,6.5444,B
4.4337,2.3856,1.6254,2.4527,8.5501,D
3.1257,2.56,0.8098,1.9787,1.8136,A
7.5554,4.8495,5.0913,4.6303,1.5243,C
7.4911,5.1407,5.5877,5.4497,3.3782,B
4.0169,3.4927,2.2507,1.5824,5.11,D
9.0141,2.3656,6.0484,3.6183,1.1156,A
4.5965,3.2334,1.5907,2.5825,5.2276,A
2.5028,7.4628,5.5303,7.4255,5.6497,D
9.5256,4.4104,4.9412,1.8777,3.4903,A
4.2059,3.9026,2.4284,1.9196,5.8142,A
3.4788,3.8907,3.5161,8.3112,3.8697,A
2.3731,7.6549,6.9382,8.7037,7.8173,B
7.5968,4.2101,5.8216,5.4772,0.0255,A
1.6123,6.8761,7.4115,7.0061,7.8989,B
4.7211,3.1434,2.8732,1.3737,7.8532,E
3.5607,4.1169,2.9627,1.7201,3.7151,A
4.5521,4.3258,2.1424,2.445,7.7805,A
7.847,6.5667,3.775,3.5066,2.4019,A
0.4467,0.1486,2.5824,9.7649,5.4837,A
1.7153,9.1027,3.8537,6.7537,5.3853,A
6.7847,6.4763,3.8823,3.7894,2.5641,A
3.492,2.4448,1.9146,1.8624,6.3427,E
4.4642,1.8196,1.1716,2.9646,5.8223,D
1.9913,3.1917,1.7332,3.0924,4.9255,A
2.6512,7.5216,6.5334,8.5455,7.6699,B
8.5027,6.1442,1.1551,8.0343,5.9868,A
8.9156,3.4667,0.2008,0.7453,9.9086,A
4.7942,5.8141,7.5083,7.9863,9.1632,A
6.886,1.0737,0.6251,4.0547,0.0327,A
3.365,2.293,2.4522,3.5971,5.842,D
6.9134,8.3936,6.5694,8.4099,0.3964,A
1.958,6.8847,5.5573,7.484,6.4489,A
2.0621,7.965,7.0102,8.2747,7.4981,A
1.6364,4.6502,6.4954,6.9687,6.1616,A
9.2476,9.0485,3.6573,7.4761,7.5295,A
4.2599,7.4805,6.6658,5.047,1.8822,A
7.3471,3.4814,4.6972,4.5139,0.9217,C
8.9376,5.7527,7.9622,5.3444,5.025,A
5.7007,1.405,4.4146,7.8741,6.6764,A
1.1938,9.8063,6.8633,8.3513,2.2144,A
0.1735,6.1685,2.8441,2.5792,2.6955,A
9.8593,9.185,3.6655,7.4028,4.5303,A
0.6369,7.496,6.7258,7.2765,5.8207,D
8.3181,2.7421,4.3716,4.648,6.9444,A
2.3696,2.4732,8.3162,4.0482,1.1414,A
4.9175,8.3008,2.0217,2.1404,2.6626,A
1.4104,7.0022,9.7341,6.1924,0.5515,A
1.9545,2.2766,4.0546,3.2041,7.655,A
2.6458,1.7173,0.4963,2.7897,9.5774,A
2.9852,7.415,7.0769,6.2456,6.616,D
6.6028,3.6143,7.6615,2.6688,2.0184,A
4.6975,2.4315,3.331,3.116,4.4116,A
4.4775,4.4834,1.3155,1.6298,5.6989,E
2.4231,2.9553,4.1365,9.9782,5.3217,A
7.4525,6.788,5.8752,5.8947,3.3432,C
7.6881,6.5958,6.6677,4.5068,5.7168,A
8.0172,3.79,5.2243,3.4038,8.4941,A
8.44,4.5073,5.591,4.3763,2.7367,B
7.0129,3.8724,0.4549,8.9743,2.0366,A
3.305,6.3625,5.9874,7.9989,7.178,A
2.2081,9.1537,7.3873,6.7417,8.2991,D
3.4921,2.8616,2.4303,1.5549,4.794,D
4.7066,3.3165,4.1227,2.4271,9.705,E
8.2936,4.827,5.6338,3.066,1.7477,A
5.2312,9.2886,7.4991,4.0017,8.298,A
7.9968,0.3777,9.9524,0.6015,0.2059,A
3.2071,6.2738,6.7049,8.0429,10.0,D
8.0128,1.6686,4.1584,7.7336,5.422,A
0.5603,1.2773,6.6618,0.5092,7.3846,A
1.9792,9.7503,1.445,3.1709,5.3159,A
6.4706,4.8839,9.1502,4.6,0.8141,A
2.7928,7.5068,5.3023,6.013,7.7448,A
8.6648,4.1844,4.5009,3.9867,3.5123,A
