v,w,x,y,z,class
0.3875,5.8925,9.0084,4.7057,6.6744,A
8.7685,6.3143,4.1939,6.1233,7.3173,E
8.9061,6.9438,3.5388,5.2021,7.6444,E
2.3915,2.0455,8.1156,7.9686,2.28,E
2.5268,3.6192,6.856,5.6233,2.4255,E
9.1308,7.9592,3.8945,5.3785,7.4795,E
2.1964,0.0267,7.1328,7.7493,2.672,E
8.6423,5.0957,4.3387,6.1519,7.2983,A
8.4882,5.2823,2.0361,7.129,8.4812,A
8.7903,6.7265,4.2382,6.3117,7.441,A
8.636,6.41,4.1094,5.7701,7.2678,A
0.6699,2.0007,8.929,6.2344,2.0137,A
3.2801,4.6589,9.4475,0.171,5.4109,A
1.2977,2.3726,5.8194,6.3404,2.6776,C
2.7909,3.6403,1.074,3.5457,6.8474,A
1.0165,3.4368,6.3728,8.0129,3.9475,E
7.4713,6.6455,3.8019,6.0623,6.4881,A
5.5301,2.6331,2.3652,6.079,5.8971,A
9.3952,7.5493,8.1537,7.1526,0.468,A
8.6156,7.4012,4.3079,2.9826,7.5557,D
5.263,4.1715,3.0433,3.5432,5.5734,D
1.4052,2.326,8.7122,6.9621,2.1678,E
8.8574,6.7854,3.7673,5.9066,7.4888,E
1.0563,2.3782,2.0603,7.7458,9.1529,A
3.2456,4.3781,2.8306,2.0827,5.9967,B
8.8497,6.5349,3.8074,6.0091,7.3282,D
7.8685,6.137,1.5397,5.8682,6.0991,A
2.0748,2.1117,1.5896,8.2439,4.1666,A
7.7024,7.481,4.3451,7.208,5.8305,D
1.3512,1.9716,8.4338,6.4391,2.8786,C
4.1247,2.6476,3.998,0.2253,5.8386,A
1.5594,2.5743,7.4623,8.1391,1.9001,C
4.2447,3.6771,2.9022,4.7079,8.5033,A
8.7168,6.6473,4.0877,5.7263,7.1141,D
1.8721,2.3701,6.1324,6.6772,2.1058,A
0.5206,7.7286,3.9003,6.8156,9.8749,A
1.126,2.5665,6.7009,4.2348,2.1162,A
2.9514,2.6843,0.7573,0.373,4.4284,A
8.7202,6.3163,3.8574,6.0786,7.0706,E
