v,w,x,y,z,class
0.6413,7.6124,1.0137,5.7785,8.0061,E
5.8895,5.6668,2.588,8.5124,4.4679,D
4.0391,5.712,2.946,8.2766,2.9125,D
3.0344,9.0469,6.8089,7.1744,8.5267,E
4.9033,3.7917,1.3644,7.4,2.8245,D
8.9095,4.215,3.2525,8.0195,7.7999,E
2.6132,2.6606,7.1989,3.8241,3.0162,C
3.0985,2.0342,5.1477,4.5288,2.3774,A
2.676,2.1995,8.6159,8.4534,0.1985,E
4.8839,4.6,0.8141,6.4706,9.1502,E
7.3638,7.0313,6.2332,2.2632,6.7616,A
5.3657,5.0632,2.2485,7.9105,2.8185,E
8.1321,7.5274,4.8903,2.1625,7.6102,A
3.6047,5.6026,6.4165,0.0914,3.5625,E
6.6273,2.6306,7.6324,9.6578,3.0836,E
5.919,0.1471,7.9612,0.3981,6.8932,E
7.1185,1.6556,7.5726,8.6795,6.071,E
9.8959,9.8702,3.942,8.4821,4.3891,E
5.4749,4.6062,3.7955,7.2084,4.6729,E
3.6973,4.4705,2.9607,0.4361,8.0311,E
2.2766,3.2041,7.655,1.9545,4.0546,E
3.5476,1.0967,5.2604,4.2522,2.5191,E
9.9359,8.0719,7.5286,5.0962,5.1677,E
3.4513,2.4515,5.8845,4.2203,2.1086,A
2.2013,1.1528,6.5471,4.5535,1.4131,E
4.0308,8.824,3.6179,3.3864,2.5544,E
2.8482,4.5178,4.8222,5.5735,1.7744,E
7.5442,7.9854,6.9122,0.8925,7.4621,E
7.7919,5.3381,1.1249,1.7088,5.7187,E
3.1671,0.9089,0.7672,3.2471,8.5918,E
6.7413,7.6567,7.437,0.7935,5.3692,E
5.2123,5.0801,3.0886,5.0802,6.669,E
0.9426,0.3649,1.9303,2.15,7.4989,E
3.4927,1.5824,5.11,4.0169,2.2507,A
0.8922,0.5723,8.6307,0.7744,3.8802,E
4.4351,0.687,7.6459,4.3918,4.1155,E
2.3588,1.8285,5.158,4.9274,1.7315,C
2.3457,5.4383,3.6141,1.6068,9.0926,E
9.4897,8.0898,7.5706,1.4961,6.1273,A
4.1585,5.1669,2.434,9.0835,4.3244,B
2.7992,2.1113,6.3364,3.7131,0.6601,E
7.709,9.0219,5.9966,2.2027,7.9832,B
1.7188,2.4346,8.2944,3.1128,7.408,E
6.2596,5.9765,7.4766,0.339,2.3123,E
7.1672,7.8353,7.0792,1.8605,8.6949,A
7.4304,7.6292,6.4413,3.2065,7.0638,B
0.8527,3.3917,6.2726,3.734,2.8374,A
1.7097,1.2225,6.7569,4.3327,0.4989,A
8.8654,7.3998,7.0777,1.3399,7.0299,A
8.3638,5.4927,0.6287,4.1318,9.3963,E
8.2842,6.9205,7.1797,1.512,8.9578,E
9.1832,8.8367,7.699,6.9473,7.1669,E
2.6646,9.1932,8.1477,2.5671,9.0461,E
6.3338,5.1547,5.6596,8.1242,3.3229,E
9.8426,6.5878,6.72,1.6452,5.9538,B
2.1349,4.3689,5.9428,3.7729,3.2279,C
1.7305,7.5915,4.6198,2.0184,2.0793,E
5.7921,7.2686,6.5444,0.9944,7.2232,B
0.1556,5.8168,6.7756,7.8664,0.7369,E
3.3366,4.0709,5.4571,4.1983,1.9616,E
6.8341,1.9009,4.163,6.1517,0.0505,E
1.4094,2.0073,8.4642,1.9956,1.0393,E
4.4719,4.1986,3.8803,8.2158,3.793,D
1.2151,4.9367,1.8771,7.1208,7.3,E
1.5859,3.0366,6.2935,4.6769,1.525,A
8.0917,7.0838,5.1284,1.4192,2.1078,E
2.4018,2.586,5.6655,5.1142,1.2724,A
3.1397,2.5497,3.0482,2.8729,6.8066,E
8.0138,5.6818,9.132,6.5858,5.2588,E
1.4084,2.9759,6.5764,3.5783,3.4277,E
1.6775,3.4583,7.1329,4.2879,3.7585,C
1.393,2.2747,6.5081,4.2174,0.0,C
1.6349,2.76,7.6074,4.1303,2.3309,C
4.1555,1.9995,2.1192,2.7113,4.1195,E
7.4073,7.238,6.6707,6.6909,4.3164,E
5.3216,8.2572,4.6207,7.2156,9.3497,E
5.5028,7.7405,8.5271,4.3273,0.437,E
6.8295,4.0686,2.8074,5.3787,5.8601,E
