v,w,x,y,z,class
5.1743,5.3426,4.3959,3.7972,2.0459,B
2.7308,7.5823,2.0398,2.7076,7.5831,A
9.5556,8.3822,7.8618,5.6174,8.6971,B
1.7622,8.0941,1.4983,2.857,6.4246,B
5.7515,2.7172,4.8673,3.6869,3.4876,C
5.817,2.9051,4.7076,3.8494,0.2155,E
2.5362,6.654,2.9484,2.4488,8.0625,A
0.517,6.1746,7.4299,5.5548,6.7347,B
6.8204,4.3289,8.5877,6.4201,5.8501,B
7.358,6.0677,8.5259,6.4843,3.8004,B
1.9265,5.9499,1.3269,3.1099,8.0238,B
6.918,4.5965,9.3539,5.757,5.7219,D
0.3889,4.214,1.6403,8.7155,6.7482,B
1.9532,6.6843,2.09,3.2548,8.8806,A
7.0137,5.7075,7.1376,5.7978,5.0126,C
3.6876,5.4954,7.1892,7.3507,7.0111,B
0.0043,8.0004,2.72,1.5703,9.3809,B
7.3785,6.2065,8.5313,6.6115,4.0162,C
7.0288,6.2524,9.1419,6.9603,5.0063,C
6.7157,4.1606,9.9687,8.8972,2.9716,B
2.4997,6.6149,1.5159,3.0388,9.1715,B
6.5019,7.9469,9.0605,7.0706,4.8084,C
7.8499,5.649,5.352,4.7171,2.4938,B
6.3591,5.1464,8.6381,6.9475,6.2148,C
6.6151,2.7414,4.096,9.0796,5.8935,B
7.335,5.9144,8.4592,6.5882,3.7501,D
3.0388,2.9281,1.6502,2.8327,8.0566,D
7.467,6.1573,8.8028,6.7986,3.8509,C
7.1033,4.1006,4.3835,4.1987,2.9898,B
7.617,6.2528,9.1403,7.3812,3.4857,B
2.28,7.9686,2.3915,2.0455,8.1156,D
6.8391,3.4696,2.7993,2.3814,0.8189,B
8.1009,5.2842,8.594,8.1616,5.4894,D
6.197,3.9696,4.175,3.5082,1.4428,C
6.4537,2.8363,3.9666,4.3033,2.2962,B
7.1141,5.7263,8.7168,6.6473,4.0877,C
4.7419,1.7742,4.6645,1.765,0.0,C
5.3288,2.7203,4.5728,3.741,1.5175,B
7.3302,5.9127,8.8693,6.6224,3.8741,D
6.4603,4.5774,8.813,6.3057,3.5311,D
5.8673,1.7455,5.5856,1.9798,2.6444,C
7.2765,9.7848,7.1363,2.7363,0.8561,B
5.8347,3.5565,4.0791,2.7793,2.7802,C
6.5696,6.3774,8.3402,5.3718,2.5044,B
5.664,2.8799,4.026,3.7283,2.384,B
7.3574,7.8601,8.1615,8.9197,3.7442,D
8.5033,4.7079,4.2447,3.6771,2.9022,B
6.0991,5.8682,7.8685,6.137,1.5397,B
0.468,7.1526,9.3952,7.5493,8.1537,B
5.8386,0.2253,4.1247,2.6476,3.998,B
1.3149,5.7568,1.5241,1.2395,7.6437,B
1.9355,8.4081,1.5417,3.2442,7.0273,B
9.8749,6.8156,0.5206,7.7286,3.9003,B
7.441,6.3117,8.7903,6.7265,4.2382,B
6.8474,3.5457,2.7909,3.6403,1.074,B
1.6833,7.7242,1.2426,2.5907,8.4659,B
7.1716,3.0096,5.1077,2.921,2.0289,C
6.5507,7.8776,8.7471,7.1098,5.3851,C
7.2678,5.7701,8.636,6.41,4.1094,B
7.5744,5.301,4.3932,3.2282,3.2502,E
5.0491,1.6625,4.219,4.8973,2.2833,E
7.3541,7.0841,7.8274,6.8662,4.3154,D
6.3914,4.2721,9.144,6.6458,3.2144,D
6.7765,7.644,8.7347,6.4527,4.6385,C
4.1955,0.0981,0.4146,8.0409,3.261,B
9.8813,5.2628,0.0273,5.4702,7.2441,B
5.3089,3.1951,5.0796,2.6914,3.465,C
7.3489,6.1281,8.5746,6.4564,4.1849,D
1.0358,6.5753,1.0875,2.104,7.3411,B
5.3099,5.0953,5.1231,2.956,1.3335,C
6.8474,4.9759,4.1101,2.4301,0.4879,C
4.0444,5.4329,6.4647,0.272,4.7647,B
7.3881,7.6044,8.6243,7.7232,4.8797,C
1.5272,7.4664,1.6016,2.2656,7.1331,B
5.907,2.8889,5.0944,3.4137,0.8404,B
2.5345,5.7279,6.7469,8.6011,4.422,B
6.6283,8.1148,1.2874,1.7223,2.6957,B
2.0776,4.7722,3.6221,2.0509,7.7986,A
4.7292,2.4801,3.7341,3.2,4.0443,C
5.8305,7.208,7.7024,7.481,4.3451,C
1.9306,6.2086,2.3609,2.3532,6.7413,D
2.675,6.3571,3.5298,3.4368,8.258,B
5.7991,9.0089,7.0884,5.1178,7.0367,B
2.1678,6.9621,1.4052,2.326,8.7122,D
7.312,6.1717,8.6982,6.3633,4.2238,B
0.712,7.5987,2.422,2.7764,2.1852,B
1.5668,8.1657,9.0094,7.8775,5.6727,B
6.7767,6.1903,9.4372,6.6479,4.1123,C
3.9681,4.8763,4.698,3.0731,2.1471,E
1.8183,6.1934,1.3527,1.621,6.5466,D
10.0,5.7045,8.3679,6.3094,3.8707,D
3.5888,7.2731,2.2229,1.1509,8.1467,B
6.3048,2.8558,3.6555,3.9736,3.2644,C
7.0741,5.7679,8.4428,6.5916,3.9823,B
1.8417,2.8095,2.0179,3.1944,5.5966,D
7.0684,3.8943,8.802,6.1814,6.5215,B
1.0012,3.8245,1.8132,1.233,7.4438,A
1.3457,7.0156,0.4711,0.0,7.43,B
5.7473,2.0971,4.7615,4.7919,3.2685,C
7.3466,5.8531,8.6271,6.7432,4.22,D
1.4487,7.8473,5.6665,8.6612,3.5481,B
1.7083,6.0071,0.7033,3.2476,7.5045,D
7.0791,5.7612,8.6048,6.4709,4.1526,D
5.6903,6.4789,7.6284,6.8041,4.168,D
5.9492,3.3961,4.1649,3.1163,3.1071,E
7.1734,1.9197,3.3569,3.5313,2.9045,B
1.5494,3.4432,2.3149,0.9391,6.695,D
7.7913,6.0954,8.6776,5.7276,3.9633,B
6.8615,8.3721,8.9692,6.8669,4.627,B
5.5734,3.5432,5.263,4.1715,3.0433,C
1.0159,5.3327,4.1371,1.5727,7.4268,A
2.0227,4.2233,1.5241,1.2785,7.9246,A
7.1745,5.8066,8.4701,6.7152,4.1815,C
2.1162,4.2348,1.126,2.5665,6.7009,B
6.228,4.8814,4.6508,3.4205,2.9208,C
1.0977,5.1822,0.7793,2.9755,8.1692,B
7.026,4.2333,9.1265,5.474,5.9771,B
5.5826,3.83,7.9199,5.8403,3.5503,C
7.378,1.7121,3.5948,3.9864,1.6499,B
6.2294,4.601,3.5806,2.3081,0.865,C
5.3298,4.702,4.1703,5.4081,2.8606,C
2.3804,4.6414,1.1929,2.0772,6.596,B
5.6415,0.4886,4.1034,2.1619,0.9667,E
6.1865,8.1149,8.6328,7.3528,3.1432,B
7.4888,5.9066,8.8574,6.7854,3.7673,D
0.1081,7.9578,1.7046,2.4585,6.4533,D
7.7334,8.2638,7.6452,6.1567,2.9454,C
7.1605,6.0712,8.79,6.565,4.1378,B
5.9924,2.7162,7.1481,4.0972,0.7096,B
7.2915,8.0179,3.1232,7.7501,4.2331,B
6.7516,3.7633,4.6703,2.2082,3.2063,B
7.1542,5.933,8.6713,6.5424,4.2171,B
6.6744,4.7057,0.3875,5.8925,9.0084,B
1.8162,6.501,1.3636,2.0521,7.895,B
1.417,4.7822,0.0,2.8942,6.1286,B
6.9917,2.7681,5.1203,4.0533,1.8643,E
4.4284,0.373,2.9514,2.6843,0.7573,B
2.7333,5.6095,0.5283,2.9137,8.4109,A
7.9333,7.1488,8.0797,6.4301,4.3228,B
2.8776,4.5369,1.049,2.4357,6.4261,D
5.3941,2.3381,5.0652,2.8159,1.4512,E
3.8515,6.1535,7.694,6.0645,6.0633,B
8.5149,5.3894,8.3133,5.3402,2.8299,D
4.9967,3.5032,7.3699,6.5499,8.7547,B
8.5857,9.3419,5.3956,9.4122,1.5107,B
7.3173,6.1233,8.7685,6.3143,4.1939,D
0.4,0.3563,1.9662,6.1778,3.0911,B
7.1378,5.9763,8.4929,6.5982,4.2296,B
2.5933,6.7064,1.6023,1.145,8.715,A
5.8465,6.1082,8.8465,6.6129,3.577,B
1.9001,8.1391,1.5594,2.5743,7.4623,A
7.3282,6.0091,8.8497,6.5349,3.8074,C
7.0638,5.9147,8.4416,6.7496,3.8681,B
0.8964,2.6141,4.2134,2.1961,8.9523,B
4.669,2.8511,4.1063,5.0828,4.4192,B
6.269,3.0661,8.6655,5.6613,3.7457,B
7.2579,8.3014,8.9038,7.4151,5.587,C
7.66,5.667,8.8523,6.7582,7.0575,C
8.0645,3.7231,4.3263,4.0912,1.2429,C
3.3143,8.3598,3.0148,1.9723,6.0422,A
0.9318,6.4232,1.5919,1.5241,8.0298,D
8.1886,7.231,8.7804,5.7759,2.9462,B
1.9987,5.4872,2.612,1.7719,6.0892,D
8.3442,7.144,8.9443,6.0087,2.3712,C
5.6946,5.8849,4.7634,1.9974,1.8095,B
2.8607,6.6305,1.4574,0.9878,10.0,B
2.1058,6.6772,1.8721,2.3701,6.1324,B
7.5729,8.9132,7.3529,7.9338,5.658,D
8.4812,7.129,8.4882,5.2823,2.0361,B
6.632,0.8089,7.2625,4.3979,2.8277,B
6.5549,5.5097,8.4702,6.5364,2.5573,B
6.7357,2.5804,6.1724,9.9851,3.0932,B
6.1282,0.0,5.5666,4.2186,1.7362,E
2.28,8.1212,2.7046,1.2359,9.1916,B
7.2368,5.7434,8.6414,6.4361,3.7421,B
7.2983,6.1519,8.6423,5.0957,4.3387,B
6.4181,7.3344,8.1557,8.9364,1.2661,B
7.3286,6.0509,8.7501,6.5264,4.2112,C
6.2199,3.1047,3.832,3.5978,2.5535,E
5.7359,2.0716,7.9663,7.0931,3.7127,D
5.8006,3.8179,3.9506,3.2287,1.2826,B
6.7003,5.3944,3.3122,2.2131,2.3977,E
7.0048,4.9483,8.6489,7.0024,3.7608,C
1.035,5.9131,0.1244,4.5669,5.8345,B
7.5557,2.9826,8.6156,7.4012,4.3079,C
2.5637,9.128,1.9063,3.3184,7.5082,A
7.1559,4.2242,9.0146,6.5001,4.9057,B
1.7298,4.9324,2.4883,2.7548,6.1248,D
7.4795,5.3785,9.1308,7.9592,3.8945,D
6.1181,0.7461,8.509,4.4581,3.1487,B
1.4002,7.0518,1.66,1.9202,6.9249,A
5.4109,0.171,3.2801,4.6589,9.4475,B
7.7746,5.2419,3.5863,3.5548,1.8999,B
7.5487,6.4533,9.2708,7.9516,4.361,B
2.1241,8.2183,1.7408,2.666,7.7937,B
3.5429,9.905,1.5138,0.9708,7.2543,B
7.3267,5.7542,8.6949,6.4391,3.8227,C
4.8074,2.9115,2.5662,0.0409,8.3043,B
2.9121,5.7052,2.7485,2.7254,8.3449,A
5.662,2.1219,3.2781,3.1439,3.1403,E
2.0713,5.6082,2.033,2.7354,7.6971,B
2.672,7.7493,2.1964,0.0267,7.1328,D
7.3211,6.1266,8.8615,6.4274,4.0236,B
7.8194,6.4972,8.3994,4.3398,9.6932,B
7.1279,6.1905,8.712,6.8039,4.1415,B
5.4443,3.3545,5.1591,1.2538,3.1502,E
1.0317,8.1889,9.4917,7.6693,8.369,B
1.5584,2.5641,4.5381,4.0913,7.5279,B
2.4757,1.5051,8.9445,9.8284,4.8463,B
7.8937,9.348,6.9402,8.4974,8.1464,B
8.2337,10.0,9.6819,5.6783,4.7258,B
7.9644,1.3925,3.6293,2.2691,4.8043,B
2.6776,6.3404,1.2977,2.3726,5.8194,A
9.0442,3.9953,9.7043,7.4058,8.5861,B
6.517,5.9296,9.0507,7.7379,4.0901,C
6.0671,0.7365,4.9071,3.3589,2.5823,C
1.8802,4.7324,5.1856,9.0469,5.5101,B
4.7693,6.7703,1.5402,1.9125,7.0456,D
0.5077,1.4968,9.6875,0.399,4.2058,B
2.0137,6.2344,0.6699,2.0007,8.929,B
2.5896,6.6921,3.3414,3.1139,7.7821,A
0.0,9.4903,2.1866,1.5224,6.1129,B
1.6123,7.28,2.0085,2.1003,5.8185,B
2.4255,5.6233,2.5268,3.6192,6.856,D
7.7694,6.6014,9.6155,8.0873,5.3066,C
1.7019,6.8493,3.2908,1.2318,7.7732,A
7.0694,7.2266,8.9873,6.5757,6.1061,D
5.5429,4.4353,4.2847,1.9952,2.2827,B
7.4219,5.9635,8.7069,6.5831,3.835,D
7.2149,5.8286,8.4765,6.3491,3.7765,B
2.1438,1.1655,9.3189,3.9142,6.8147,B
8.4355,4.2021,9.5043,6.7981,4.7781,B
7.3474,5.9337,8.8153,6.3509,3.744,D
6.3251,2.8149,4.563,2.7051,2.9161,C
6.4881,6.0623,7.4713,6.6455,3.8019,B
7.4565,5.9807,8.7206,6.5613,3.8118,B
3.6221,3.758,5.2934,4.4389,0.3103,B
