v,w,x,y,z,class
2.1048,1.9248,1.7048,5.7932,1.6536,C
6.9698,7.4792,4.8195,4.6414,6.2426,C
6.8424,7.6382,6.2062,0.8449,7.425,C
4.0566,2.0701,0.934,6.3361,4.4085,E
2.7093,2.3817,3.6162,7.1358,4.3956,C
1.7771,3.4442,6.5323,4.7825,8.211,E
7.464,8.8002,7.8388,1.2797,2.4732,E
2.5008,3.0794,2.5769,7.7313,4.7941,B
1.6589,1.3919,3.6505,7.1993,0.1394,E
3.2041,4.2068,2.8007,5.9885,4.9259,B
8.3687,1.8541,1.9207,6.9818,4.2774,E
4.2329,5.8711,9.196,8.0426,9.7912,E
2.6965,3.1115,4.4595,5.3961,4.7909,E
2.3183,0.3304,2.8412,8.6089,9.7999,E
6.435,9.4611,6.901,0.7637,9.3283,E
4.4154,3.4921,9.1678,4.4981,1.1403,E
6.026,7.4907,5.3869,5.5017,4.7233,E
2.5257,1.3223,3.2594,7.1016,4.9983,E
7.823,2.7211,7.074,4.7801,5.6607,E
4.8809,6.3104,3.9021,5.0628,3.7295,C
4.1398,1.9594,3.4897,6.3446,4.0416,B
4.9426,5.4245,8.4277,2.8518,3.5499,C
4.9686,4.1339,3.9848,8.9818,0.8985,E
4.0893,3.5711,2.4154,7.0532,4.5718,C
2.1499,2.0053,3.0669,5.2532,5.9928,C
1.4645,3.9207,2.5836,6.6247,3.4314,B
3.2947,4.9185,8.2881,1.1328,4.9238,E
4.2679,2.0596,5.2566,4.4844,6.2042,E
6.4389,6.3352,6.8216,4.6604,4.189,C
5.6951,6.7893,6.0334,3.7134,7.4465,E
5.7987,5.949,5.7134,6.3358,5.1608,E
1.7631,5.2863,3.8405,6.0484,4.5102,C
1.987,3.9052,2.6749,4.7454,6.2034,B
7.2825,5.588,2.2381,3.6504,0.8668,E
2.0413,0.0234,8.9855,8.7925,2.7585,E
5.8797,6.7422,7.2796,3.7674,6.2437,C
3.8314,6.491,7.8548,1.9671,9.6685,E
1.2023,4.3026,2.5476,7.2891,4.3946,B
3.0401,2.2268,2.1882,6.8926,7.2894,D
1.605,0.8171,5.1046,2.3285,2.4734,E
7.1055,0.1425,7.4456,5.2194,5.477,E
7.8014,8.5214,9.318,4.1497,0.8502,E
4.3263,6.9894,0.857,6.1908,4.2586,E
5.1287,7.2879,5.7595,3.0053,5.4048,C
8.446,5.3615,7.2018,2.1245,3.8736,C
4.7146,3.1788,2.5461,6.5331,4.6793,E
2.5582,4.4322,3.7836,5.5072,6.6869,B
