v,w,x,y,z,class
7.4859,5.7226,8.1046,6.1371,8.2138,C
5.291,2.7944,6.5596,6.464,8.4786,A
3.5587,1.3528,6.1964,6.1096,8.5234,A
5.3102,2.7723,0.7708,1.1754,4.6593,A
8.4037,3.8928,4.7202,3.8901,6.0619,A
2.5956,8.5301,1.6009,3.0431,6.3602,B
4.8725,6.0256,4.7375,1.7475,8.2301,B
3.7039,3.2494,4.8124,6.7874,9.0224,A
4.1068,1.8286,8.6395,7.4142,9.0424,D
3.9723,7.3985,5.0326,1.7085,8.7016,A
9.617,5.7907,9.3198,8.2595,4.3819,A
8.3847,6.5355,5.7876,6.5215,5.3184,A
5.062,4.8088,7.9155,6.5898,5.8728,D
4.7207,5.1112,1.8376,6.0931,3.2866,A
7.4103,4.3747,5.3565,4.7375,3.4929,A
4.7147,9.087,7.75,2.0805,8.775,A
4.3407,2.4374,8.1615,7.5777,6.9675,C
1.7333,5.4529,6.1193,1.8445,6.4072,A
4.5044,2.6419,7.572,6.4278,7.9495,D
1.9189,6.7913,4.4462,2.7809,5.4429,B
8.3594,4.3445,3.6924,4.5198,2.8332,D
6.9053,4.7863,7.1222,8.1547,7.0902,C
2.6255,2.2231,8.3904,7.651,8.7415,A
9.0656,9.531,0.4067,9.5861,7.388,A
2.6089,5.2256,4.7456,1.9243,6.7618,B
6.4924,1.854,4.2776,4.5269,4.4125,A
9.5272,9.4174,5.8664,0.5696,5.2686,A
3.2527,3.2449,6.361,4.911,7.1055,D
8.5764,3.197,3.2966,6.3583,4.623,E
7.4147,3.636,7.282,7.1485,6.5375,D
6.2146,1.2902,5.8721,4.1073,5.2259,A
3.5347,4.413,8.1149,6.8411,4.952,A
3.2736,1.8224,7.6701,3.7884,3.0968,A
9.5797,4.922,2.5265,4.1646,7.2005,A
3.8621,0.8778,8.3632,6.9796,7.7726,A
2.7489,7.7403,3.5691,2.7995,7.6084,C
1.8146,7.434,2.8727,2.9086,0.5609,A
8.9397,1.2115,3.7029,9.9438,4.7598,A
8.2247,7.1042,9.3214,1.2828,8.6767,A
8.2009,0.9216,9.4381,0.366,2.6118,A
4.1939,2.5144,8.0956,6.1925,7.4639,C
5.1021,2.6297,5.0585,4.7811,2.5755,A
8.995,9.8054,1.425,5.0673,8.9987,A
5.0355,4.6444,9.6438,6.3824,4.5866,A
6.3807,8.5349,0.3897,7.5996,0.5772,A
2.9985,5.0217,4.9784,1.8076,7.6567,C
3.2003,2.175,7.789,8.6161,8.3316,A
4.4774,6.9222,4.1864,2.3788,7.099,B
3.4497,8.8042,9.7643,3.5096,3.9499,A
9.5024,5.7723,2.9221,9.5053,4.2052,A
6.7178,8.4574,5.8073,4.9542,5.086,A
8.6462,3.1587,3.7276,7.3901,3.5432,A
9.4363,2.1001,2.2296,8.5006,6.4689,A
4.3727,2.8671,6.6927,9.046,7.5634,C
5.1985,3.0163,8.8641,7.466,7.2879,A
7.7906,6.7694,4.1711,4.4736,3.6546,D
9.7243,4.3454,4.8644,7.1312,7.9187,A
7.0153,6.3493,3.2422,6.7779,2.4862,D
1.7295,4.5826,7.8245,5.0044,8.0366,A
7.3129,9.3614,9.6176,9.5711,1.5206,A
5.0703,0.8161,7.5511,7.2178,6.6234,A
9.0701,5.4647,3.6106,7.2746,4.7582,A
9.9206,7.6425,3.697,5.2426,5.6123,A
