v,w,x,y,z,class
8.8132,0.4502,3.5243,1.5843,7.2797,A
1.8095,6.8792,8.6948,4.7087,4.2277,A
8.7515,2.0417,2.7311,2.2188,2.6647,C
8.1666,0.9345,3.7485,3.8751,2.1433,D
8.2054,2.6326,2.711,0.7293,3.5733,A
1.1627,5.308,5.867,6.3251,4.0797,D
9.2383,2.7699,2.5505,4.1428,3.6632,C
5.2283,8.1158,4.4871,7.5809,7.452,A
5.6955,8.0471,2.6062,6.7994,6.7184,A
1.4469,6.1634,7.7706,5.5855,6.6066,A
8.4923,9.9103,8.4175,3.537,8.4696,A
0.6221,5.8002,8.0142,2.9846,6.0099,E
8.5038,2.2258,2.8371,2.4132,2.747,A
2.4877,4.5775,6.8909,4.3406,4.685,A
7.1,2.18,2.4873,1.4603,1.2312,C
3.2804,5.1888,7.3284,4.8706,6.3183,A
7.7778,4.8554,2.8144,3.5776,0.9793,A
2.3244,4.9778,8.9253,4.5187,5.7131,D
2.1918,4.7134,2.1907,5.8118,4.0422,A
9.1233,1.1532,3.0392,1.7435,3.028,A
2.4201,4.7359,8.6662,6.6053,2.7899,D
8.6637,6.5737,6.5067,6.908,5.0368,A
2.1029,5.1942,8.7249,4.9685,4.3683,E
2.7751,9.0658,4.2111,7.3928,2.4314,A
6.0787,7.7323,3.4164,6.2081,0.9213,A
2.297,5.5477,8.423,4.798,5.1225,E
6.4125,9.2075,3.904,8.4022,8.3515,B
1.5993,1.3533,1.8131,2.1599,2.873,A
8.778,2.0214,2.4805,2.2277,2.3767,A
6.6091,9.8717,4.0305,7.4463,6.6795,C
4.9918,1.7368,9.0898,9.5032,2.1283,A
2.4128,5.4794,9.529,6.2666,4.4222,D
8.406,2.0067,2.92,2.3974,2.7589,C
6.3724,7.015,5.0258,8.5888,10.0,B
5.1453,7.0958,2.1805,7.3577,7.5969,A
9.2044,3.4699,2.7526,2.8643,2.8744,A
0.4734,3.7751,8.6338,5.6775,3.265,A
6.4692,1.5242,1.9872,2.6163,1.658,D
1.1875,3.9391,8.8739,3.4247,5.89,E
0.3938,8.6056,9.742,7.8089,4.5046,A
1.6809,6.4975,9.0104,2.4613,3.7765,A
1.5176,5.7779,6.2612,4.293,5.0077,D
0.8693,6.9314,6.4748,4.0305,5.0676,A
7.816,0.1481,1.9912,2.0012,2.7118,C
5.8971,7.2537,3.5603,4.3786,9.3612,B
10.0,0.8103,1.6806,1.777,3.3658,D
8.2236,3.7487,2.8346,0.8863,3.5774,A
5.9808,7.9294,3.0992,8.0671,7.6795,A
7.1564,8.9401,5.9885,9.4873,7.3879,B
8.3347,2.7196,1.3942,2.4936,2.7514,D
8.6056,2.161,3.9948,0.4034,1.9636,D
8.1905,7.3789,4.8817,8.5298,6.993,A
8.7176,1.8931,2.5405,2.5223,2.5291,A
8.5253,2.1019,2.4562,2.3219,2.5675,C
9.604,9.7536,6.205,8.8797,8.9687,A
6.0467,8.2881,2.4779,6.5308,8.8787,B
0.7316,4.6992,9.0671,5.7584,0.5395,A
8.6038,2.096,2.796,2.2157,2.4893,D
2.7909,5.6736,6.0669,3.2054,4.7822,D
5.0744,7.739,4.4372,8.7418,6.6467,C
0.6504,6.2181,3.6935,3.4156,7.6606,A
2.9018,5.7818,8.4089,3.4218,5.3566,D
9.009,2.7482,1.5076,2.806,1.1941,C
1.8599,6.671,8.9117,2.975,3.5082,A
8.5063,2.2177,2.4606,2.3282,2.6233,D
5.7383,8.05,3.6875,7.5048,7.402,B
5.8528,7.9884,2.8331,6.7704,7.4357,B
8.3011,3.2082,2.2013,2.6782,2.0338,C
1.1959,4.0715,2.287,6.6317,0.0988,A
8.7141,1.838,2.5722,2.2616,2.417,A
8.5793,1.2147,3.8746,2.092,3.6243,C
8.6218,2.1643,2.9003,2.3047,2.4725,D
8.6184,1.9265,2.8707,2.3507,2.3725,C
3.7992,6.5412,7.6448,6.4436,7.5574,A
8.1058,0.2142,6.5427,2.6638,2.3442,A
3.2198,9.7389,3.8983,6.6936,0.4176,A
9.3337,7.722,4.9957,3.1735,1.8563,A
5.4297,8.7832,4.3621,7.4494,6.8188,B
8.9736,1.6585,1.8241,1.8087,3.9754,A
1.4846,4.7088,6.5132,3.4328,7.0403,E
7.7031,1.3828,2.8432,1.3981,3.1931,C
6.0828,9.6929,1.4052,10.0,6.1877,A
4.1797,9.4963,3.8656,6.7412,8.7633,A
5.3971,7.6064,3.2715,6.1063,7.7578,B
3.9798,9.4611,8.5292,2.0256,3.1841,A
5.3472,9.0094,3.1066,6.1124,8.2007,B
8.4188,2.0552,2.6808,2.1861,2.7521,C
1.8447,5.5846,7.4205,7.6549,6.3195,D
4.6777,3.1895,6.6655,4.801,5.5097,A
2.5787,6.0377,7.5894,5.4157,5.2983,E
8.1673,1.1105,4.4361,0.9238,2.682,C
9.387,2.8263,4.0455,1.9772,2.2645,C
4.5653,0.3867,1.1402,7.2179,2.9121,A
3.0186,6.5104,6.4173,4.1156,5.3024,E
7.9727,4.4586,3.8688,2.7247,2.0375,A
0.5329,4.8017,7.3287,5.0061,5.1797,E
8.612,2.1064,2.4901,2.1719,2.498,A
4.9931,7.5055,4.3572,7.0138,5.6821,C
2.1205,4.2622,7.7381,6.5904,2.9561,A
4.4133,8.8423,3.1693,6.035,5.7878,A
9.1107,8.1589,4.1768,5.3269,3.5274,A
7.9453,2.3139,3.7401,0.9257,3.537,D
8.0769,1.9846,2.3954,0.9927,2.478,D
5.3933,7.4856,5.5635,7.7799,6.3199,A
2.2945,3.2831,7.9979,3.8799,5.5992,A
3.7191,4.0812,5.66,3.5914,4.9491,D
2.2619,4.8376,8.0214,4.7666,4.6234,A
8.6794,1.505,0.9788,4.285,1.6483,A
7.9246,2.4151,1.5524,3.8855,2.4978,D
5.6609,6.983,4.5471,9.0545,5.7468,B
6.4273,7.05,3.5057,7.2384,9.2639,B
5.3543,6.2627,3.5817,5.9689,7.7037,C
9.1086,2.8579,3.325,2.0676,1.3188,C
6.5537,7.2401,2.55,7.2179,7.1853,A
0.6949,4.6819,6.592,4.8469,4.1826,D
1.44,7.0363,7.2943,5.9058,6.1381,A
2.2443,6.9884,8.4358,4.6067,5.3896,E
0.38,5.2556,6.3398,4.5699,5.6534,A
9.9453,8.9571,4.3169,4.6921,0.6088,A
8.7845,6.054,2.2217,5.7447,0.5939,A
