v,w,x,y,z,class
5.1741,7.6815,4.403,0.4761,4.31,A
2.6871,0.4289,8.4794,0.6386,0.3824,A
4.6298,2.8686,2.763,7.0417,5.4414,E
5.6299,6.7003,8.316,3.2257,7.403,A
0.3473,5.8179,4.7021,0.9437,2.7978,A
4.709,3.536,1.5214,7.2056,3.4404,A
4.7846,3.4175,2.2007,5.5268,3.3814,E
8.1277,6.4244,0.4597,2.3183,4.6398,D
4.9739,9.7686,3.5678,9.1695,3.6515,A
8.3242,7.9632,1.7255,2.3066,6.4961,B
8.0633,8.9056,2.2253,2.7852,4.5617,A
4.5952,5.029,2.104,5.5651,3.4316,A
4.3507,1.9223,0.1181,5.1035,5.0515,A
6.2146,8.2818,1.0775,4.8012,5.5735,B
7.6699,0.0132,3.1225,1.8932,3.3875,A
6.4653,3.1589,5.048,5.587,1.8851,A
1.8021,3.6205,5.9776,5.1323,8.965,C
6.1358,5.865,1.6271,8.5306,1.7424,A
8.0366,9.4446,3.9284,2.7901,5.4456,D
3.923,6.3366,0.426,7.9055,2.7055,A
6.7613,1.7422,1.339,8.2604,2.4948,A
5.1103,7.1627,7.4027,5.6812,7.0145,A
6.004,8.7285,1.2075,4.4923,5.5315,B
4.0978,1.0585,1.1239,7.0432,3.8874,E
4.8565,2.9655,5.8133,5.094,4.5501,A
1.7662,4.4181,6.1102,6.5289,5.4146,E
6.0549,5.7901,2.2521,6.6381,2.6391,D
7.5042,3.4589,4.5208,8.1087,1.3567,A
8.5634,7.4352,8.2882,2.0452,5.2873,A
4.8015,2.534,2.7121,6.9837,1.1359,A
2.6765,0.3913,4.6675,8.7002,6.0289,A
1.7752,9.5321,1.6019,6.8925,2.7597,A
7.4363,8.9053,1.2936,0.0,5.0196,D
9.7796,1.7657,9.2339,3.3981,6.6046,A
0.5439,4.9557,6.4622,9.2847,0.8737,A
4.6472,7.5341,1.8512,4.0827,0.0894,A
5.2793,3.9069,6.7134,4.8888,8.1624,A
0.3172,3.4446,5.6953,6.5806,8.6728,A
6.0619,6.3785,3.4255,6.1378,6.7856,D
2.64,5.4874,6.392,4.6382,7.3896,A
5.9592,8.1938,2.515,3.6815,6.8415,D
6.0894,4.4805,0.5583,6.9302,3.5393,E
6.0522,4.2168,1.7306,7.6983,8.7003,A
6.2961,3.2126,0.9776,6.7506,5.1876,A
3.8561,0.2163,9.8817,9.181,5.2714,A
5.2977,3.5638,1.5161,9.0226,9.9761,A
3.791,4.7497,8.8188,3.1712,2.3332,A
5.6118,0.78,5.1956,7.5857,5.4963,A
3.5646,2.6776,3.0113,7.4803,3.5424,E
1.3427,3.6646,7.024,4.0514,6.1712,C
1.0667,9.28,1.8157,1.8923,0.668,A
7.0878,6.4731,1.2958,2.4263,5.7179,D
1.6406,5.4802,7.1668,5.6555,6.3076,E
4.0797,4.9405,9.9035,4.8376,3.5742,A
0.4728,9.4304,4.7314,0.5826,4.1336,A
2.6523,4.0699,4.7665,6.9257,6.2586,E
5.0856,8.4928,3.8245,2.3229,4.706,B
8.0393,1.5305,3.673,6.0412,1.2771,E
0.8695,7.3711,6.2669,8.557,2.8234,A
7.121,7.4486,0.6748,4.0747,6.1387,A
7.8365,7.1845,4.0548,6.8566,3.3111,A
4.5087,8.7784,4.4037,5.9318,4.8617,D
0.0794,4.7574,4.3877,2.3575,6.303,A
5.2473,1.8436,4.2396,6.0911,3.3784,E
9.5544,3.0171,2.4593,6.2094,3.6238,A
4.7166,8.7815,0.9409,3.2239,5.5073,B
1.6686,3.6936,5.9453,5.4028,4.9668,C
6.7997,1.3839,1.6684,7.825,2.211,A
3.9965,6.9246,2.0125,6.149,7.1421,A
6.0277,8.2915,1.2984,2.6015,4.9674,A
3.7431,1.5532,2.7364,6.3345,2.7644,A
6.1388,6.2501,5.7795,0.4058,1.7784,A
3.7558,1.5147,6.1792,4.4959,2.2414,A
5.4956,3.5722,2.0505,7.3581,2.428,E
3.5076,5.4731,5.5875,8.146,5.7224,A
3.7818,5.7037,8.1344,4.9852,6.3044,E
8.1509,8.11,2.5162,6.8461,5.048,A
7.45,6.5044,5.4563,2.654,0.4006,A
9.5163,8.0983,6.3977,8.9237,2.5194,A
0.7371,4.0874,7.7501,0.9043,3.9464,A
4.8685,8.48,5.233,1.9603,3.5335,A
4.0847,0.3759,8.5181,4.4099,3.5989,A
6.804,9.5895,4.1879,6.2223,7.4884,A
6.383,9.1485,2.6562,3.8302,5.8861,D
4.4125,2.9382,5.3156,4.9887,8.9618,A
3.0933,4.5807,7.3539,9.5392,0.7863,A
6.0426,0.6057,1.5882,5.2234,0.7007,A
6.7322,5.9333,1.4541,4.0879,3.1445,A
0.6844,3.3081,2.5709,1.3495,8.627,A
1.5963,6.1099,3.9381,6.1072,5.2798,A
3.8598,3.9921,5.6704,6.463,6.6426,A
6.8894,2.4682,1.8523,5.8456,2.6686,A
1.7733,0.4027,5.8146,8.0551,6.4123,A
7.711,5.6271,3.2023,0.9811,8.2284,A
0.458,5.7338,9.2685,9.7182,4.4039,A
7.0537,9.5209,1.9532,5.3724,4.4067,B
1.7753,8.7172,1.3233,2.8958,0.6786,A
4.4212,0.2604,5.6013,5.7543,2.6102,A
4.1477,3.1651,3.3428,6.5754,1.687,A
0.2686,8.4869,2.1708,7.8711,5.0605,A
8.0732,7.4196,2.5916,5.2399,5.4377,D
1.3232,4.2607,9.6645,8.7738,6.9241,A
6.522,8.0395,1.4321,3.0496,5.9539,D
4.5588,8.5141,3.9345,6.8785,9.4876,A
8.8586,8.2313,0.6757,2.5728,6.5663,A
5.913,2.7492,2.3444,8.7359,1.7521,E
4.9371,3.8481,3.7117,6.9522,2.6068,D
3.5188,2.2335,3.3502,4.0885,8.7013,A
3.6765,1.3245,1.3633,6.7079,4.2352,A
3.6193,2.4004,9.4228,1.4651,9.6103,A
5.3438,7.2166,3.6833,4.7091,5.8698,B
6.6456,1.4167,9.0726,5.6981,4.8202,A
6.2307,5.8691,3.4582,4.2764,7.594,D
1.7991,9.634,7.3882,9.0784,0.5619,A
4.6828,3.9355,2.4976,5.3588,0.8608,D
4.9297,2.7822,3.3766,9.1839,2.4489,A
5.2761,7.4217,2.8978,4.3557,3.8628,B
