v,w,x,y,z,class
7.8626,3.499,6.4122,7.3005,9.6312,A
8.8155,5.6779,6.1227,9.0317,6.9205,A
6.5775,4.9728,5.9061,8.5219,7.9092,E
0.3849,4.3412,9.5689,5.6054,4.4922,A
5.7254,7.9702,1.7583,5.4364,3.0323,A
6.7696,3.3637,5.014,6.5234,7.5325,A
0.4502,3.5243,8.8132,7.2797,1.5843,A
5.2556,6.3398,0.38,5.6534,4.5699,A
0.1481,1.9912,7.816,2.7118,2.0012,E
4.9966,8.8157,2.9194,6.4997,7.7957,A
4.7088,6.5132,1.4846,7.0403,3.4328,B
2.2246,2.7,8.402,2.664,2.4684,E
2.0312,2.7524,8.4879,2.6282,2.3346,C
1.1105,4.4361,8.1673,2.682,0.9238,E
2.262,2.5371,8.3241,2.3398,2.2776,C
4.8554,2.8144,7.7778,0.9793,3.5776,A
8.5422,5.2791,8.2366,5.811,1.659,A
7.4381,7.0241,2.498,4.6869,3.2633,A
7.2537,3.5603,5.8971,9.3612,4.3786,D
6.671,8.9117,1.8599,3.5082,2.975,A
9.4963,3.8656,4.1797,8.7633,6.7412,A
2.3974,3.0923,7.715,2.2455,3.4475,E
4.4586,3.8688,7.9727,2.0375,2.7247,A
1.62,1.7981,7.6946,2.6805,4.1001,A
9.2075,3.904,6.4125,8.3515,8.4022,D
8.5702,3.3141,5.8805,8.4067,7.99,A
1.5242,1.9872,6.4692,1.658,2.6163,C
8.7123,3.7768,5.6529,9.1002,7.3549,A
4.0812,5.66,3.7191,4.9491,3.5914,C
1.2696,2.0086,8.2102,2.2284,3.1689,A
1.8395,0.2093,8.4343,2.7265,2.9186,C
2.5414,3.5211,8.6331,4.517,0.2441,C
1.505,0.9788,8.6794,1.6483,4.285,A
9.3787,2.0967,6.7363,6.7789,7.0543,E
8.6908,3.9052,6.0504,7.7925,7.7929,E
5.4794,9.529,2.4128,4.4222,6.2666,C
1.9041,0.7063,8.603,2.1016,3.0827,C
3.0952,8.5761,0.2861,4.8779,9.442,A
9.6929,1.4052,6.0828,6.1877,10.0,A
2.0587,2.8535,8.4433,2.4611,2.5323,E
4.0715,2.287,1.1959,0.0988,6.6317,A
3.4079,8.314,0.1629,5.1363,4.7777,A
6.4975,9.0104,1.6809,3.7765,2.4613,A
9.3357,2.7487,6.0994,7.4502,9.3656,D
8.5563,7.2247,9.9152,2.563,4.0643,A
7.7323,3.4164,6.0787,0.9213,6.2081,A
9.4339,3.0111,5.8215,8.4318,9.9732,E
1.9827,2.8189,8.6668,2.351,2.0583,A
2.0266,2.7439,8.5755,2.4477,2.3027,A
6.1118,6.0856,1.8999,5.7565,4.975,B
2.3456,2.3088,9.5799,2.0121,2.5764,A
6.5496,9.0459,6.0059,5.8307,9.5214,A
7.207,4.1796,6.1878,8.8819,8.4373,E
5.0544,8.3377,1.5027,3.907,5.4779,A
