v,w,x,y,z,class
4.8754,9.4251,7.4093,4.8366,4.88,B
7.2569,2.7969,9.0133,6.0661,4.1016,E
3.6946,1.2263,9.6954,8.0332,8.1093,B
0.1084,8.0824,8.3523,0.6408,2.8765,B
2.1383,3.7124,0.6509,5.8527,8.3799,B
5.8538,0.1235,4.8313,7.2397,4.6068,A
8.403,3.0597,8.0772,2.5306,7.5329,B
6.9138,4.5176,6.3683,5.6189,3.0739,E
5.4874,6.392,2.64,7.3896,4.6382,B
4.0699,4.7665,2.6523,6.2586,6.9257,C
3.2126,0.9776,6.2961,5.1876,6.7506,B
3.4175,2.2007,4.7846,3.3814,5.5268,C
3.6205,5.9776,1.8021,8.965,5.1323,D
4.4514,2.2755,2.5594,4.5015,7.9119,B
1.1685,6.6328,2.9275,0.3432,4.9593,B
8.2313,0.6757,8.8586,6.5663,2.5728,B
9.5663,1.8794,7.8504,4.5044,2.264,E
7.6815,4.403,5.1741,4.31,0.4761,B
1.3839,1.6684,6.7997,2.211,7.825,B
3.5357,3.2366,6.4997,3.7979,7.4161,C
7.5341,1.8512,4.6472,0.0894,4.0827,B
4.959,2.5113,2.0186,4.3239,8.7571,B
6.6688,2.5397,3.9981,4.5459,2.0639,E
7.7719,2.758,5.6148,5.8817,4.746,E
9.1086,0.746,5.1883,9.7074,4.0197,E
2.3205,1.721,3.7751,2.2028,6.5134,B
2.2144,4.4861,2.3559,5.0246,6.5154,C
9.994,5.549,5.8874,3.3086,6.2221,B
4.7786,2.7163,2.6571,2.6731,6.9941,A
2.8219,3.6892,6.4114,4.0253,6.0462,A
2.1708,3.1811,1.5756,1.5678,4.6057,B
8.0291,1.9427,10.0,5.0872,5.4585,A
3.3081,2.5709,0.6844,8.627,1.3495,B
4.4181,6.1102,1.7662,5.4146,6.5289,C
8.0576,5.4334,1.3905,8.5289,3.4645,B
5.865,1.6271,6.1358,1.7424,8.5306,B
5.8354,2.7995,0.4203,7.4735,5.078,B
3.0171,2.4593,9.5544,3.6238,6.2094,B
4.0874,7.7501,0.7371,3.9464,0.9043,B
9.055,8.9236,6.6633,5.9549,8.7215,B
5.2189,7.4245,4.8979,4.9415,7.3703,B
6.1287,5.3909,4.0748,1.9782,2.8757,B
8.9112,7.7168,3.3888,1.7343,9.0664,B
8.7357,3.2657,7.9265,5.8435,2.9745,A
2.4004,9.4228,3.6193,9.6103,1.4651,B
1.0553,1.6124,5.5497,7.2835,3.0852,B
3.2221,7.5138,2.9847,6.7578,3.6507,C
3.296,4.9674,3.4113,6.2377,2.9445,D
6.5044,5.4563,7.45,0.4006,2.654,B
9.4446,3.9284,8.0366,5.4456,2.7901,A
2.8515,3.4625,2.5853,2.718,6.364,C
2.7254,5.2418,0.9299,6.3894,4.5353,B
3.7281,2.6951,4.42,2.8005,6.2819,B
7.4217,2.8978,5.2761,3.8628,4.3557,E
5.6825,9.5617,4.6687,2.6661,1.8712,B
0.0562,5.2402,1.0603,6.2971,8.7885,B
7.5665,4.3267,9.509,5.1365,3.4529,E
