v,w,x,y,z,class
0.5127,1.0599,4.0115,2.6121,2.8436,B
6.9677,4.2746,2.0298,4.5636,8.2417,D
2.1911,1.3944,0.258,5.4954,9.6062,D
4.7942,3.4128,1.2979,3.8402,7.9539,D
7.4562,7.8502,7.4543,7.4395,1.2652,D
7.0814,8.1605,9.7907,7.2735,1.5657,E
5.5078,9.6151,5.6588,4.3946,0.4311,D
6.7946,4.3264,3.9331,5.2178,7.2091,E
3.1802,3.7299,5.5409,2.5584,3.2578,D
0.3499,4.4681,7.3681,4.2972,2.0352,D
7.8401,8.6467,8.1869,7.127,8.4007,D
7.0554,7.9008,9.1464,2.1131,3.8612,D
6.5672,5.2912,3.4868,2.9597,8.5154,A
2.3451,4.4154,2.5795,3.6805,8.1553,E
5.7538,4.9858,2.7131,5.6173,7.65,A
7.4236,7.6544,7.6912,7.9879,0.4201,D
7.3837,8.4758,8.0128,8.342,3.5308,E
4.2416,5.3008,0.9329,9.4605,9.2684,D
6.5844,3.7819,6.3065,2.3394,9.3496,D
1.2759,2.378,7.1831,2.6843,4.7464,C
0.4683,1.7478,6.3957,2.9763,3.7046,B
2.2201,2.5144,4.4365,3.6801,4.6067,D
7.6465,8.1591,7.0683,8.3081,1.3498,D
6.5456,6.2051,2.9659,0.0071,9.8724,D
7.5316,7.7754,7.3,7.336,1.598,C
7.8006,7.882,7.178,7.5863,1.436,D
3.5564,3.4588,2.3552,2.4426,6.2008,D
7.7723,7.9786,7.5195,7.6233,1.222,D
8.874,9.2022,7.5926,7.2747,1.2383,E
3.1171,4.2359,2.4042,5.0457,7.645,A
2.5537,0.1283,5.9695,3.3205,3.3909,C
7.6953,7.8357,7.0997,7.5275,1.3782,E
6.8311,8.7304,7.9914,7.7716,1.7898,D
7.7384,8.162,7.4278,7.583,1.2859,D
2.9457,0.6213,7.9033,3.2211,3.2637,C
5.311,1.2064,1.5359,0.3106,0.9137,D
7.6449,7.0956,5.3011,5.7741,8.0188,D
0.3688,2.1374,6.501,2.6995,3.5878,D
5.199,6.8105,3.3345,4.4903,5.3223,D
6.6772,8.1155,8.1229,8.2448,1.2368,D
8.4157,9.5498,6.4757,2.7203,1.1868,D
7.8542,7.0833,7.5418,6.8911,1.7183,D
3.7335,1.2998,2.8638,1.0857,3.5806,D
7.9417,8.0173,7.1811,7.649,1.3332,D
1.4009,2.4968,6.8938,1.766,5.6226,B
2.4191,1.8842,5.5129,2.548,4.7717,D
7.2753,5.5414,6.1312,7.9625,2.0273,D
7.6718,7.7823,7.5394,7.3767,1.4937,E
0.6344,0.6643,7.2513,2.5498,3.9006,B
1.5285,9.3943,7.1758,3.8972,4.7776,D
5.5581,4.2611,2.5486,3.5354,9.4796,E
4.5221,4.9456,1.6623,6.093,8.4973,D
6.1249,9.0655,6.2515,7.8567,1.8334,E
0.9455,3.017,5.4529,4.2532,4.3391,B
7.194,7.2518,8.4924,8.8059,0.991,C
0.0705,8.3224,3.0744,0.3924,5.3961,D
7.9324,7.1421,6.675,8.6812,0.8914,C
0.889,0.9514,6.4658,3.2475,3.0111,D
3.092,3.4263,3.4933,4.9632,1.3363,D
7.7133,8.2522,5.0902,8.4245,9.964,D
1.2582,2.261,5.5628,3.3533,4.9256,C
9.0762,8.8895,5.5639,7.318,1.8327,C
2.7821,2.7599,7.45,2.8147,3.4463,D
1.4702,2.6211,5.1183,3.007,1.8095,D
5.3186,4.0885,0.8288,6.184,8.407,A
1.9488,1.9096,8.0344,4.1081,4.4005,C
1.1203,0.2464,3.795,1.0313,0.396,D
5.3079,1.0429,5.6831,9.3912,0.0547,D
7.6454,8.2184,7.3124,7.4859,1.5776,E
7.9744,0.5389,1.4708,6.8159,6.0202,D
2.4952,1.95,6.3125,2.598,4.2617,B
6.1201,6.7169,2.0021,4.4008,7.7055,D
5.1605,5.199,1.8573,5.3701,8.4878,A
8.6019,8.6172,7.1568,6.8069,2.2969,C
5.5474,4.8391,2.497,5.4561,8.8888,E
2.7616,2.95,6.4943,0.7361,3.5727,B
2.6072,0.9342,5.7889,7.5686,7.2249,D
5.0711,4.9487,3.7024,3.9153,8.0671,E
9.5761,9.2656,8.3433,6.586,1.4182,E
5.2419,4.5583,3.5179,6.0978,8.1513,D
7.0154,4.1998,1.9858,3.9901,9.3779,A
1.0165,1.4901,5.5511,2.542,4.2629,D
10.0,7.9986,7.2463,6.8185,1.6145,D
5.8572,7.2301,7.4495,6.3368,0.7617,C
3.6964,4.7841,6.1901,3.3489,0.7511,D
9.3434,6.2378,7.9961,7.9353,1.2104,E
2.6152,4.0341,4.8568,2.7126,4.0841,C
4.6731,1.8411,5.8232,6.4726,0.8893,D
7.6435,8.1998,7.317,7.5932,1.6386,E
5.9136,4.5079,0.6725,5.645,8.8469,D
5.4301,4.7444,3.6602,4.3466,9.62,D
5.8214,3.7363,1.2641,3.6745,9.1177,E
5.8844,3.4896,3.5827,4.6976,6.9814,A
8.9511,2.961,9.7986,2.9869,5.7261,D
5.8726,4.8395,3.2851,4.8652,7.7573,A
4.5577,0.1022,3.992,3.5093,1.96,D
9.5966,7.839,6.0052,8.0364,1.3944,E
5.7485,7.8803,8.2694,10.0,1.5145,D
9.6624,8.2097,7.6543,8.6208,1.529,C
2.6657,2.523,4.0356,2.2079,4.2488,D
6.1145,7.5849,8.4476,7.5022,2.0754,E
7.6654,7.9688,7.2476,7.3718,1.5121,E
1.849,2.0118,6.8416,3.3904,4.1563,C
4.3701,3.925,1.2006,4.6182,8.8737,E
2.2043,5.0034,1.1843,3.5003,7.0806,D
3.4939,1.9552,5.1523,2.2976,4.265,D
5.4813,5.0222,1.0747,4.2869,7.6756,E
4.2553,3.946,7.7783,9.4061,1.2155,D
1.3996,0.7519,4.8292,3.7748,4.6605,D
5.9357,1.4437,2.7753,7.437,0.0848,D
7.5064,7.2804,8.6058,7.2486,1.6653,E
1.1396,3.9403,6.3764,5.2727,5.9755,D
7.6083,2.7728,0.2168,2.8511,7.1998,D
3.1727,3.9475,2.6576,5.5791,8.2236,E
6.8265,2.278,5.0043,8.1437,0.6663,D
7.6026,7.9933,7.08,7.2411,1.594,C
6.6687,8.307,6.8446,7.2891,2.2543,C
5.213,5.8688,1.8992,4.5543,7.2928,A
4.837,3.7118,1.5416,7.4126,10.0,D
2.146,0.0,6.4428,3.1794,4.6414,C
7.7227,8.2208,7.4115,7.4461,1.2964,C
5.2334,5.1624,1.9786,5.3766,7.7381,D
2.11,2.3289,8.2281,1.4014,4.3198,C
