v,w,x,y,z,class
3.6609,7.8634,8.757,2.2185,0.0046,D
4.6993,3.2744,6.3393,4.0243,7.0128,B
9.2695,0.2664,9.5569,0.2971,4.6574,D
4.2998,1.2835,0.6655,5.8466,5.8089,B
3.6893,1.6006,3.2481,3.4523,6.2855,B
6.2523,7.0192,2.3158,7.2321,2.7652,C
3.6319,8.3709,8.7517,8.3087,4.009,D
4.4021,1.8603,3.4599,6.1301,7.7203,D
7.8295,7.5341,1.4929,7.9506,5.0459,E
6.6548,8.5942,8.5876,5.2939,8.1018,D
9.6847,8.5006,2.858,4.5788,5.6435,D
1.4068,7.313,5.2422,3.9711,6.2907,D
6.4843,6.3174,3.7751,6.0151,1.9212,C
5.1569,4.0649,2.5032,3.3645,5.9021,C
1.7501,2.3054,0.3069,0.1229,9.2468,D
7.4286,4.8652,8.1228,3.6628,8.2143,D
6.695,6.1977,3.5183,4.9236,3.7983,B
7.481,4.2381,1.4376,6.3768,5.1265,D
6.8153,5.5474,4.6974,4.5279,1.9837,A
5.9155,8.7741,4.4407,5.03,2.3772,E
0.6588,2.7808,5.1514,7.926,6.7218,B
3.2313,5.8886,8.2594,9.6439,4.9778,D
1.9741,1.7741,4.5766,4.4087,8.6827,B
1.7811,2.4521,3.5394,0.9618,8.0313,B
0.7896,2.699,5.0147,6.1442,8.0544,B
8.1813,7.1314,4.4835,3.6588,3.8203,B
2.528,2.5995,4.145,3.3702,7.9999,B
6.675,2.7067,0.0731,9.8946,2.1244,D
6.0869,6.33,4.0457,5.7323,3.6859,D
4.748,1.2284,5.9303,5.8171,7.4798,B
7.3051,2.8825,2.2081,3.008,4.103,D
7.0174,5.9476,7.3775,3.6101,8.8258,D
2.3024,7.0043,0.0145,0.0211,2.6179,D
2.7281,1.287,5.19,3.1653,7.8068,D
4.9566,9.7004,9.2042,5.7528,9.4776,D
4.0473,9.8852,9.3197,1.816,7.8934,D
2.4874,2.6081,2.5437,5.9678,8.1664,B
6.6998,8.2339,10.0,5.0365,2.6638,C
3.9596,3.4038,4.2277,8.3306,4.311,D
3.0571,4.2086,4.577,4.9754,5.784,D
3.7184,4.0009,4.044,5.2414,5.9224,B
2.2733,3.7867,6.0914,6.2502,8.9887,B
0.9041,1.8909,7.7458,2.5865,8.373,D
6.3066,7.6032,4.3846,9.2045,4.2477,B
3.2482,2.7754,6.7446,3.9818,5.8463,B
5.6078,6.1671,5.1115,7.744,4.5664,C
4.5982,4.1054,5.9196,5.2686,6.1258,B
6.2653,8.9825,4.0422,4.3211,1.7436,B
3.9422,5.552,5.11,5.2242,8.9617,B
7.4194,0.079,2.3788,6.4259,6.6892,D
1.7446,3.0502,5.5523,6.7833,5.8226,D
6.9108,7.4061,5.2613,6.8343,3.8823,B
9.6265,7.1412,7.2998,0.4118,9.5383,D
6.8572,5.4146,3.685,1.94,8.2322,D
4.2912,7.5958,5.0285,6.3022,5.6793,B
4.6146,0.3488,3.129,3.2925,5.5396,B
5.2011,9.7344,7.1098,6.1546,0.6792,D
7.9001,5.6772,6.98,5.4823,3.5637,B
3.3104,3.9345,5.6021,8.1074,8.5035,B
1.4037,4.7195,4.0908,6.046,1.512,D
2.71,2.8586,3.8601,3.1778,8.5035,B
4.825,2.1458,4.7186,4.8822,8.8761,B
9.319,2.186,6.0802,2.3312,7.1011,D
1.7658,0.0116,0.4958,2.446,2.4275,D
10.0,8.1013,5.5066,6.9904,3.3454,D
7.1251,8.0515,3.766,7.0876,4.3098,E
6.0865,9.8294,5.2652,8.6118,2.7822,D
3.2871,9.843,8.4728,7.5676,7.0811,D
6.4206,4.2344,6.4777,9.6579,3.713,D
2.0493,0.7029,0.7335,2.9834,7.8013,D
4.2917,2.9507,2.1971,3.6498,5.9015,B
0.8113,8.9887,7.1661,2.1565,2.5686,D
3.8281,4.1765,5.9134,9.8546,6.3002,D
8.8713,6.2059,5.2736,2.7592,5.5785,B
2.8665,9.7123,3.9249,8.4945,0.9109,D
5.838,8.0283,3.1546,8.3454,3.2041,E
6.9248,7.2961,3.8136,2.8144,4.5758,D
3.3726,3.1625,1.8805,9.3458,5.301,D
1.705,3.3161,4.964,3.8749,5.6246,B
2.785,3.6711,4.2882,4.4616,6.298,B
6.4315,6.7826,1.5529,7.0933,4.7253,C
5.8417,7.8317,4.636,4.9056,2.4742,E
1.5518,4.3491,5.5209,1.9226,6.0668,B
6.1249,2.1881,9.7283,9.5971,6.0466,D
7.8725,5.0995,5.5858,4.6069,2.6578,A
2.035,2.1054,3.8112,3.1596,7.4108,B
5.7759,8.6169,5.1244,4.6663,5.2526,A
5.3986,2.5043,5.2361,2.6254,7.5487,D
5.9449,8.0531,2.3928,6.6145,5.7314,A
6.4157,7.0334,3.1713,5.6813,2.8949,D
4.829,7.9714,3.1106,7.8292,3.56,D
7.2304,7.8944,3.3918,4.8608,0.5981,D
4.8931,6.238,8.893,6.3987,9.5019,D
3.3065,2.5703,3.703,9.6671,7.499,D
3.7236,1.8784,4.6146,5.3262,7.4006,B
5.0513,5.8167,1.4965,3.2892,6.9166,D
2.3749,2.8257,5.7356,5.3469,7.5429,B
7.7223,9.2032,7.0403,7.7304,8.2771,D
0.4651,1.0029,6.8076,3.3115,8.2767,D
1.5402,3.5589,4.0376,1.3517,8.555,D
7.0885,8.7907,3.1874,4.5788,5.919,B
9.5603,1.8206,9.0696,1.4942,4.2404,D
7.3032,3.1918,4.3486,6.2719,3.225,D
3.8032,2.7711,3.7737,2.2409,6.4498,B
5.082,0.0,6.7243,3.1763,8.5039,B
7.9742,8.6936,5.216,7.9094,4.0054,B
8.643,8.6811,3.8097,7.5469,3.4431,D
6.8418,5.7346,4.5961,3.7304,4.3265,A
3.7307,1.0733,4.7019,7.2269,6.9884,B
6.1822,5.2663,5.8011,9.545,3.845,E
7.3586,7.3203,6.5444,9.373,1.9559,A
9.5797,6.9619,7.6948,2.9408,2.8332,D
9.525,0.6284,1.9703,8.583,4.1234,D
0.2209,3.8439,4.1518,3.9025,8.6832,B
3.6375,1.9185,4.8293,4.7302,7.5147,B
6.595,7.906,0.118,0.4858,5.8574,D
8.1818,8.1375,3.8306,5.9214,4.1149,D
3.3213,0.7376,5.045,5.2884,7.9477,B
9.5815,6.0259,2.8226,7.1804,3.8096,A
6.6375,6.3643,5.8435,4.9814,3.9713,E
6.2109,8.2759,2.7631,5.9628,2.1489,D
4.4921,2.3753,2.7932,3.5705,7.915,B
7.9671,7.7861,5.48,6.4523,2.5574,C
3.8986,5.0961,1.2016,8.0069,9.093,D
4.1037,0.3805,1.9501,9.3046,4.3483,D
7.6214,6.0296,3.8569,5.5566,3.3952,B
2.0315,1.3229,4.4855,3.5439,8.7446,B
5.3561,0.2262,7.8753,9.6789,3.8774,D
0.0,1.9488,5.7026,4.7803,8.5119,B
1.6003,5.9288,9.6402,8.2675,7.115,D
5.3312,9.2047,7.3127,2.1126,9.2674,D
4.7001,3.9702,9.8751,2.9458,6.8726,B
1.9033,3.605,7.524,7.6023,6.655,B
8.0623,6.1866,6.8758,5.7701,6.6469,D
6.9398,6.7435,7.0504,8.2647,1.1512,E
3.3791,2.6727,5.6295,6.511,7.535,B
2.5656,0.1582,6.3136,4.0491,5.573,D
6.6649,6.159,5.8474,0.271,6.1778,D
2.6889,3.0154,3.2502,2.3024,6.6908,B
1.1512,3.2972,7.5367,1.3564,0.5061,D
5.8852,7.1188,4.4058,7.1388,3.9014,B
3.7568,3.9571,2.6469,5.2877,7.6,B
4.7206,1.1406,4.4447,6.1687,6.1589,B
8.1804,1.4507,7.9487,0.8078,6.7945,D
6.9473,6.0609,4.4079,3.7094,1.6262,A
0.5014,0.5258,0.8811,7.3867,4.7761,D
6.164,4.9205,5.561,7.9054,3.8205,C
5.0859,2.3974,2.874,5.4499,5.6695,D
5.7474,2.9873,4.1165,5.2783,3.801,B
9.7381,6.8268,7.3455,0.8248,7.7461,D
2.8158,2.7614,4.3737,3.7822,6.0752,D
1.2001,1.3384,0.9199,0.68,8.5859,D
0.3433,5.2461,2.5461,1.5212,6.8548,D
2.388,3.75,5.6423,2.2683,5.7815,B
1.4344,1.2886,7.4765,3.6781,5.2463,B
5.0866,8.7975,5.9141,8.8805,3.7277,D
7.5085,6.205,9.8819,7.1412,6.0573,D
3.7415,3.128,5.6264,5.0953,4.3741,B
7.9318,2.5391,1.9305,1.1331,9.066,D
2.1974,2.8228,2.8206,2.0961,7.8453,B
3.0356,2.9596,7.7687,8.446,6.9658,D
6.8592,8.338,5.1428,5.8524,5.4559,D
7.2818,6.9492,2.9009,3.8506,3.2232,E
3.1303,2.3454,5.0495,3.6713,6.9845,B
8.7663,9.7757,2.225,4.4682,5.5078,D
1.6601,0.8515,6.2881,5.761,6.3963,B
3.283,2.1416,6.8565,6.9305,8.3125,B
7.4491,6.7112,4.6175,7.6372,5.3178,E
7.6779,7.7351,4.9125,6.6973,3.8525,D
5.5417,7.0717,3.1095,7.3529,3.4179,B
3.5785,2.1478,2.4838,3.9955,6.6693,B
7.1153,6.5887,5.016,5.3041,3.8306,B
8.0342,5.592,6.0413,6.353,5.5961,E
4.2848,9.3155,2.7938,6.7591,7.5199,D
4.1173,0.7983,0.2925,3.618,4.0206,D
8.0741,7.6483,3.2477,6.0727,3.0812,A
4.2347,4.508,6.0179,0.4151,4.5265,D
2.2667,0.4209,4.6401,4.8799,7.7957,B
2.5114,1.2508,4.4802,6.3711,6.7414,B
1.9582,3.4148,4.2852,1.441,6.4796,B
3.9233,0.9021,7.7978,2.725,8.4584,B
6.6304,7.4703,4.1326,3.5364,3.6622,D
7.9337,9.9334,3.2443,4.7643,1.3719,D
8.8233,6.2372,3.5728,4.4085,3.7575,E
3.9019,4.4012,5.2129,5.8883,5.2096,B
4.3158,2.0602,3.6143,6.1127,7.7184,B
3.8174,5.0107,5.1658,3.9576,7.2947,D
2.3807,2.7794,7.099,6.4074,6.8773,B
7.678,8.11,9.1314,7.927,4.9596,D
4.6743,0.3955,5.8865,3.567,7.2865,B
4.0304,2.5156,5.6176,0.2921,9.2349,B
6.5887,5.9299,4.3505,8.364,3.4933,C
7.381,6.1699,4.7798,7.6593,5.196,B
7.2674,7.2707,1.1788,5.295,4.0595,B
1.2955,1.6028,5.6548,4.2636,6.1586,D
2.1727,1.7179,5.0486,4.4391,7.8962,B
5.7057,7.9982,5.3861,5.6684,4.4058,E
3.1024,6.46,9.9212,6.3973,5.2508,D
5.2741,3.3124,6.6085,4.5049,7.3318,B
7.0177,6.1888,8.1817,0.041,2.8632,D
0.9718,1.577,5.6159,3.7362,4.9269,B
5.2198,9.206,3.721,5.4456,4.9069,D
8.9564,9.6443,2.6561,3.5943,9.4462,D
3.8947,3.3306,2.1963,2.4072,8.8666,D
8.8608,5.945,9.5499,7.2835,1.547,D
4.8526,2.6353,3.0378,0.9712,7.8253,D
5.9962,5.3212,5.021,7.3864,3.4817,D
7.4494,6.526,4.3612,5.517,5.5995,C
4.4114,1.7617,9.1417,0.4596,8.1449,B
2.501,2.2507,7.5218,3.4763,8.1783,D
8.5799,2.0006,2.4961,7.8368,4.0661,D
2.9274,1.1,3.4626,0.411,5.8532,D
6.6383,0.8967,8.442,5.2354,7.5175,D
9.9366,8.9342,4.7908,4.6264,5.605,E
7.6123,9.6886,8.8088,4.988,1.5637,D
7.5186,4.3474,2.8821,7.2293,4.9259,D
4.75,4.1526,6.7046,3.384,8.404,B
0.1632,9.3766,1.7557,3.4199,1.2441,D
3.6436,9.3519,9.998,8.5566,0.2174,D
5.2076,7.6406,3.721,7.2987,0.5833,B
9.5995,6.8443,1.2031,1.6224,9.3666,D
8.0765,6.3077,3.2359,3.7474,3.445,C
1.4889,0.5728,0.2326,6.765,9.0637,D
3.4172,1.7645,7.892,2.0119,5.9161,D
4.5154,2.6598,3.1311,3.814,9.7626,B
1.5652,4.9939,2.3896,2.4125,3.4527,D
8.5645,5.3064,4.8111,9.8551,3.6636,B
2.9647,0.798,5.123,1.7029,7.242,B
7.4328,7.3347,3.955,6.4671,3.5224,D
4.1084,2.5744,6.1447,4.9478,7.766,B
8.2554,7.1132,1.3746,6.7587,0.7062,E
3.9202,2.8672,5.8212,2.9055,8.3562,B
7.4134,3.2819,1.7304,3.4174,5.1405,D
2.2549,3.9858,3.7613,3.3899,7.2527,B
2.3683,5.1053,3.0387,5.0288,8.4111,B
7.5119,5.6283,1.6688,9.7884,6.8085,D
8.6026,6.6676,5.8927,6.493,1.7057,E
7.7526,5.4792,8.8915,6.1104,5.3931,D
9.5294,6.596,0.3385,8.0742,1.9762,D
4.0669,2.1327,5.8748,6.4828,7.4401,D
7.0874,6.0671,7.3131,7.0316,2.7035,B
8.9166,6.0468,5.6695,5.182,3.2945,D
2.241,2.1057,6.7218,5.8862,8.6214,B
6.1986,7.6136,0.8357,4.5812,2.8583,E
7.6942,6.5224,2.9024,5.7991,2.6951,B
8.8666,8.1901,5.4542,5.2905,4.0849,B
6.8807,6.5326,6.3405,8.1232,3.3827,D
6.9122,7.4486,3.9729,8.2843,2.8967,E
2.2487,7.0705,3.8452,0.5221,5.7755,D
3.7165,3.4635,4.3853,4.0303,8.5056,D
9.5276,4.6304,9.6341,8.8864,7.3905,D
2.6136,6.3172,0.5919,8.3498,4.8625,D
2.302,2.6202,2.1529,2.8947,7.0342,D
4.0251,4.0867,7.0028,1.3038,3.1505,D
9.0629,6.6727,4.2679,6.6243,3.2794,D
3.0135,6.279,5.3642,3.7132,6.0745,D
7.7582,9.7517,4.1837,5.3575,5.0914,B
3.1022,2.9039,3.7697,5.1716,9.2105,B
8.0018,10.0,4.2016,6.293,5.5058,C
3.3191,9.5331,8.2556,5.7575,2.2804,D
6.6506,1.2795,2.6736,2.0375,5.4555,D
1.5101,5.0947,6.0684,8.3098,1.6449,D
2.619,6.2165,9.3077,0.8017,9.6514,D
4.2184,0.7619,8.1946,3.4769,5.4805,D
2.4418,1.6704,5.0691,4.5156,9.4885,B
2.8364,2.6784,5.6306,5.5345,8.4478,B
9.7333,9.4877,8.535,4.9684,4.8196,D
3.8831,2.3226,3.7565,3.7419,7.206,D
9.3347,7.6167,7.3512,4.8763,6.5525,D
0.5925,1.4582,5.3049,1.8551,7.8073,B
5.0005,9.0489,5.5094,2.3804,7.433,D
7.0,6.2518,7.0595,2.2412,9.5965,D
3.3782,1.1059,3.9288,6.7455,4.3188,B
1.8462,6.6933,4.3805,7.2313,6.5166,D
8.6192,5.604,3.6253,7.8979,2.6253,B
8.3307,5.0836,0.8349,7.3545,4.8834,D
3.4255,2.3647,3.8495,5.2072,8.3489,D
7.3686,8.8179,3.6683,7.4699,4.105,B
5.6486,6.4463,6.1314,7.4038,5.1971,D
3.2087,1.8288,6.3844,2.4943,9.4185,B
3.2112,0.3669,8.7887,3.9888,7.9422,B
3.9053,1.8246,8.0924,5.6167,5.0901,B
2.0609,9.7883,4.3177,7.0273,1.8986,D
6.4125,8.408,2.1288,6.0719,4.1166,D
7.3533,8.5319,4.2508,9.1008,3.5834,B
3.9072,2.671,4.4677,3.1044,5.7149,D
3.3053,1.3006,6.1383,2.5166,7.6548,B
4.343,2.5721,3.2533,6.5755,7.2576,D
6.0093,8.3357,4.3808,4.9842,3.827,D
6.8316,6.44,5.2415,6.4824,5.4818,D
5.4611,7.9295,0.1031,4.7564,9.6595,D
2.7859,3.0863,2.5887,3.0665,6.8776,B
5.6039,7.3653,5.5925,4.6738,3.6658,B
6.6933,9.0408,4.5942,8.4242,3.2919,D
3.5272,4.2104,8.1956,5.7443,7.7864,B
1.432,3.0476,4.8029,4.2016,4.9124,D
4.8358,3.3118,7.4772,5.6208,5.991,B
1.6002,9.15,8.8581,5.7555,1.1347,D
7.969,9.0556,5.2978,7.3803,0.0,B
6.7285,6.7855,1.1098,6.9639,4.9679,E
4.7117,3.7898,6.8964,5.5932,6.7842,D
1.2422,4.8442,5.2467,3.8786,8.0127,D
3.0303,2.947,4.9757,6.2062,7.2461,B
4.4939,2.9331,5.2115,5.7671,7.321,B
7.1857,0.8626,1.6052,5.9722,6.5497,D
3.1331,1.406,7.0518,7.7217,8.8108,B
6.0706,7.033,3.3241,5.7366,4.4992,D
5.1171,5.6719,5.4773,7.1053,2.7649,E
